model_slug,score,source,source_url,evaluated_at,notes
gpt-5-5-pro,85.1,curated,,,
gpt-5-5,82.3,curated,,,
gpt-5,79.8,curated,,,
o3,75.8,curated,,,
gpt-4o,34,curated,,,
gpt-oss-120b,61,curated,,,
gpt-oss-20b,48.2,curated,,,
claude-opus-4-8,86,curated,,,
claude-opus-4-7,84.7,curated,,,
claude-sonnet-4-6,81.2,curated,,,
claude-sonnet-4,68.4,curated,,,
claude-3-5-sonnet,38.9,curated,,,
claude-haiku-4-5,66.1,curated,,,
gemini-3-1-pro,87.3,curated,,,
gemini-3-pro,84.9,curated,,,
gemini-2-5-pro,75.6,curated,,,
gemini-2-5-flash,63.4,curated,,,
gemma-3-27b,29.7,curated,,,
gemma-3-12b,24.6,curated,,,
llama-4-maverick,43.4,curated,,,
llama-4-scout,33.9,curated,,,
llama-3-3-70b,28.3,curated,,,
llama-3-1-405b,27.7,curated,,,
llama-3-1-8b,12.9,curated,,,
deepseek-v4-1,84,curated,,,
deepseek-v3-2,79.1,curated,,,
deepseek-r1,65.9,curated,,,
qwen3-7-max,82.6,curated,,,
qwen3-235b,62.4,curated,,,
qwen3-32b,55.2,curated,,,
qwen3-8b,38.6,curated,,,
qwq-32b,63.4,curated,,,
glm-5-2,83.2,curated,,,
glm-5,81,curated,,,
glm-4-7,84.9,curated,,,
kimi-k2-5,83.1,curated,,,
kimi-k2,53.7,curated,,,
mistral-large-3,77,curated,,,
mistral-small-3-2,30.4,curated,,,
magistral-medium,61.5,curated,,,
grok-4-2,83.8,curated,,,
grok-4,79.4,curated,,,
grok-4-fast,70.3,curated,,,
phi-4,25.3,curated,,,
phi-4-reasoning,53.1,curated,,,
minimax-m2-5,78.6,curated,,,
step-3-5-flash,72.9,curated,,,
nemotron-super-49b,60.2,curated,,,
command-a,28.1,curated,,,
hermes-4-405b,49.8,curated,,,
olmo-3-32b,44.7,curated,,,
granite-4-h,26,curated,,,
smollm3-3b,7.4,curated,,,
llama-5,80.4,curated,,,
deepseek-v4-5,85,curated,,,
