model_slug,score,source,source_url,evaluated_at,notes
apple-openelm-270m-3b,38.76,self-reported,https://huggingface.co/apple/OpenELM,2024-04-01,"OpenELM-3B (pretrained), RACE score from the HF card's 'Open LLM Leaderboard' evaluation-harness table; lm-eval-harness's default 'race' task uses the high-school (RACE-H) split."
btlm-3b-8k,39.4,self-reported,https://arxiv.org/abs/2309.11568,,"RACE-high, 0-shot, Table 4"
chinchilla,82.3,self-reported,https://arxiv.org/abs/2203.15556,,"Few-shot RACE-h accuracy, Table 7 of the Chinchilla paper. Paper notes GPT-3/MT-NLG use a different prompt format on RACE-h so cross-model comparisons on this specific table have caveats, but Chinchilla's own reported number is a genuine RACE-h result."
claude-2,88.3,self-reported,https://www-cdn.anthropic.com/5c49cc247484cecf107c699baf29250302e5da70/ModelCardClaudev2_with_appendix_v1.pdf,2023-07-11,"RACE-H (5-shot), Section 4.3 'Standard Benchmarks and Standardized Tests' table, Claude 2 column -- the same official model-card table already used for this model's existing humaneval/gsm8k/mmlu/trivia-qa/arc-challenge rows; this row was simply not extracted in the prior pass."
claude-3-haiku,87,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-13,"RACE-H reading comprehension, 5-shot, from Table 1 of the Claude 3 Model Card."
claude-3-opus,92.9,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-04,"RACE-H reading comprehension, 5-shot, from Table 1 of the Claude 3 Model Card."
claude-3-sonnet,88.8,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-04,"RACE-H reading comprehension, 5-shot, from Table 1 of the Claude 3 Model Card."
deepseek-llm-67b,56,self-reported,https://ar5iv.labs.arxiv.org/html/2401.02954,,"DeepSeek LLM 67B Chat, paper Table 6, RACE-High split"
deepseekmoe-16b,46.4,self-reported,https://ar5iv.labs.arxiv.org/html/2401.06066,2024-01-11,"Table 3, 'RACE-high' row, 5-shot accuracy, DeepSeekMoE 16B column. (RACE-middle 61.9 also reported but has no matching taxonomy slug.)"
gopher,71.6,self-reported,https://arxiv.org/abs/2203.15556,,"RACE-h few-shot reading comprehension score (corrected slug from 'arc-challenge', which was a mislabel in the source record -- this is RACE-h, not ARC-Challenge)"
gpt-3-175b,46.8,self-reported,https://arxiv.org/abs/2005.14165,,"Few-shot accuracy, RACE-h split (Table 3.7)"
jais-70b,42.9,self-reported,https://huggingface.co/inceptionai/jais-adapted-70b,,"English RACE score for jais-adapted-70b-chat, from the same HF model card English evaluation table used for the existing MMLU/HellaSwag/ARC-Challenge/Winogrande rows."
llama-13b,47.2,self-reported,https://ar5iv.labs.arxiv.org/html/2302.13971,2023-02-01,"RACE-high split, Table 6 'Reading Comprehension' (RACE-middle 61.6 not mapped, no taxonomy slug for it)"
llama-33b,48.3,self-reported,https://ar5iv.labs.arxiv.org/html/2302.13971,2023-02-01,"RACE-High split, reading comprehension table."
llama-65b,51.6,self-reported,https://ar5iv.labs.arxiv.org/html/2302.13971,2023-02-01,"0-shot, RACE-high split of the Reading Comprehension table"
llama-7b,46.9,self-reported,https://ar5iv.labs.arxiv.org/html/2302.13971,2023-02-01,"0-shot, RACE-high split of the Reading Comprehension table"
luminous-supreme-70b,40.8,self-reported,https://aleph-alpha.com/en/blog/luminous-performance-benchmarks/,2023-02-20,"Listed as 'race (RC)' in the core 16-task table; the extended-tasks table separately reports 'race_mid', implying the core 'race' entry is the high-school split (RACE-H) by elimination -- flagged as a best-effort mapping."
megatron-turing-nlg-530b,47.9,self-reported,https://developer.nvidia.com/blog/using-deepspeed-and-megatron-to-train-megatron-turing-nlg-530b-the-worlds-largest-and-most-powerful-generative-language-model/,2021-10-11,"RACE-h reading comprehension, zero-shot, reported on the test set. From Table 2 of the primary NVIDIA developer blog (0.479 = 47.9%)."
palm-540b,49.1,self-reported,https://arxiv.org/abs/2204.02311,2022-04-05,"PaLM 540B, 0-shot RACE-High, from Table 4."
