model_slug,score,source,source_url,evaluated_at,notes
claude-3-5-haiku,0.34,independent,https://ourworldindata.org/grapher/ai-frontiermath-over-time,,"Epoch AI FrontierMath Tiers 1-3 (v2, 300-problem set), 'Claude 3.5 Haiku (Oct 2024)' entry = 0.3448276% (i.e. ~1/300 problems solved). Sourced via Our World in Data's grapher, which cites Epoch AI's Benchmarking Hub (epoch.ai/benchmarks); OWID's own data description confirms this chart is specifically Tiers 1-3 (Tier 4's 50 hardest problems excluded). Not previously tracked for this model."
claude-3-5-sonnet-new,2.07,independent,https://ourworldindata.org/grapher/ai-frontiermath-over-time,,"Epoch AI FrontierMath Tiers 1-3 (v2, 300-problem set), 'Claude 3.5 Sonnet (Oct 2024)' entry = 2.0689654% (~6/300 problems). Sourced via Our World in Data's grapher, which cites Epoch AI's Benchmarking Hub. Not previously tracked for this model."
claude-opus-4-8,47.241,independent,https://benchlm.ai/models/claude-opus-4-8,2026-05-28,"FrontierMath v2 Tiers 1-3, attributed to the independent Epoch AI FrontierMath v2 leaderboard."
gpt-5,24.8,independent,https://x.com/EpochAIResearch/status/1953615906535313664,2025-08-07,"FrontierMath Tiers 1-3, Epoch AI's own scaffold, GPT-5 with high reasoning effort. Epoch's own launch-day post: 'GPT-5 sets a new record on FrontierMath! On our scaffold, GPT-5 with high reasoning effort scores 24.8% (±2.5%) ... in tiers 1-3'. This is a coincidental numeric match with GPT-5's already-tracked HLE score (also 24.8) but is a distinct benchmark/eval; verified via the primary Epoch AI research account post. Not previously tracked for base GPT-5 (only tracked for GPT-5 Pro)."
gpt-5-2,40.3,self-reported,https://www.marktechpost.com/2025/12/11/openai-introduces-gpt-5-2-a-long-context-workhorse-for-agents-coding-and-knowledge-work/,2025-12-11,"FrontierMath Tier 1-3 (expert-level math), GPT-5.2 Thinking, maximum reasoning effort. OpenAI's own launch page (openai.com/index/gpt-5-2-for-science-and-math/) returns 403 to automated fetch, so sourced to MarkTechPost's direct report of the launch benchmarks; cross-corroborated by RD World Online and Vertu.com (vertu.com/ai-tools/gpt-5-2-benchmark-analysis-performance-comparison-vs-gpt-5-1-gemini-3-pro/), both independently citing the identical 40.3% figure. Represents a new SOTA at launch, ~10-point jump over GPT-5.1."
gpt-5-4,47.6,self-reported,https://the-decoder.com/openai-launches-gpt-5-4-thinking-and-pro-combining-coding-reasoning-and-computer-use-in-one-model/,,FrontierMath Tier 1-3 (Pro variant scores 50.0)
gpt-5-4-mini,28.3,independent,https://themodelbeat.com/models/gpt-5-4-mini,,"FrontierMath (Tiers 1-3) from Epoch AI's independent evaluation of GPT-5.4 mini, relayed via themodelbeat.com."
gpt-5-4-pro,50,self-reported,https://the-decoder.com/openai-launches-gpt-5-4-thinking-and-pro-combining-coding-reasoning-and-computer-use-in-one-model/,2026-03-05,FrontierMath Tier 1-3. Cross-confirmed by aireleasetracker.com and DataLearnerAI (both list 50%).
gpt-5-5,51.7,self-reported,https://openai.com/index/introducing-gpt-5-5,,"FrontierMath Tier 1-3, base model (Pro scores 51.0-52.4 across sources); confirmed"
gpt-5-5-xhigh,51.7,self-reported,https://benchlm.ai/models/gpt-5-5,,Explicitly attributed to 'xhigh effort' by benchlm.ai. Numerically identical to the frontiermath-tier1-3 result already recorded on the base 'GPT-5.5' corpus entry -- see verificationNotes.
gpt-5-6,89,self-reported,https://openai.com/index/gpt-5-6/,,"FrontierMath Tier 1-3 v2, GPT-5.6 Sol; confirmed"
gpt-5-nano,8.3,independent,https://themodelbeat.com/models/gpt-5-nano,,"FrontierMath (Tiers 1-3) from Epoch AI's independent evaluation of GPT-5 nano, relayed via themodelbeat.com. The page also separately lists 'FrontierMath Tier 4' (added as its own row under the frontiermath-tier4 slug)."
gpt-5-pro,55.8,independent,https://epoch.ai/models/gpt-5-pro,,"FrontierMath Tiers 1-3 (v2), Epoch AI's independent capability evaluation (±2.9% CI). Verified directly on Epoch's GPT-5 Pro model page (bar chart + numeric label)."
gpt-5-pro,32.1,self-reported,https://openai.com/index/introducing-gpt-5/,2025-08-07,"FrontierMath Tiers 1-3, 'GPT-5 pro (python)' bar in the launch blog's 'FrontierMath, Tier 1-3' chart (extracted from the page's embedded Vega-Lite chart JSON, which cross-checked exactly against the 'GPT-5 pro' bars found for AIME, GPQA, and HLE already in this file). No GPT-5-pro-specific bar exists on any of the other ~16 evaluation charts on that page (coding, agentic tool use, multimodal, health, economic tasks) -- only base GPT-5/o3/GPT-4o are compared there."
openai-o3,10,independent,https://x.com/EpochAIResearch/status/1913379478778134941,2025-04-17,"FrontierMath, o3 with high reasoning effort, independently measured by Epoch AI at 10% (±2%) — notably lower than OpenAI's original ~25% claim from the December 2024 pre-release demo, attributed to using the actual released model, an updated/expanded problem set (290 problems vs. the original 180), and no special internal scaffold/compute. Reported alongside o4-mini (17%) in the same evaluation."
