model_slug,score,source,source_url,evaluated_at,notes
ai21-jamba,46.4,self-reported,https://huggingface.co/ai21labs/Jamba-v0.1,,
ai21-jamba-1-5-large,58.3,self-reported,https://arxiv.org/html/2408.12570v1,,0-shot TruthfulQA score from Table 2 (Academic Benchmarks) of the Jamba-1.5 technical report.
ai21-jamba-1-5-mini,54.1,self-reported,https://arxiv.org/html/2408.12570v1,,0-shot TruthfulQA score from Table 2 (Academic Benchmarks) of the Jamba-1.5 technical report.
ai21-jurassic-2-ultra,43.7,independent,https://crfm.stanford.edu/helm/classic/latest/#/leaderboard/truthful_qa,,"Stanford HELM Classic leaderboard, 5-shot EM=0.437, listed as 'Jurassic-2 Jumbo (178B)' (pre-rename name for Ultra). Exact run date not shown on page."
airoboros-70b-l2,49.8,independent,https://raw.githubusercontent.com/dsdanielpark/Open-LLM-Leaderboard-Report/main/assets/20230904/20230904.csv,2023-09-04,"HF Open LLM Leaderboard snapshot, 0-shot"
apple-openelm-270m-3b,34.98,self-reported,https://huggingface.co/apple/OpenELM,2024-04-01,"OpenELM-3B (pretrained), from the HF card's 'LLM360'/'Open LLM Leaderboard' evaluation-harness table (a separate table from the zero-shot one, but same official card and same model)."
bloom-176b,39.8,independent,https://huggingface.co/datasets/open-llm-leaderboard-old/details_bigscience__bloom,2023-08-29,"TruthfulQA MC2 (harness|truthfulqa:mc|0, mc2 = 0.39760), 0-shot, HF Open LLM Leaderboard v1 evaluation-run JSON for bigscience/bloom, confirmed via direct fetch of the raw results JSON."
bloom-7b1,38.9,independent,https://huggingface.co/datasets/open-llm-leaderboard/details_bigscience__bloom-7b1,2023-08-01,"mc2 score on TruthfulQA, same primary results file, key harness|truthfulqa:mc|0."
bloomz-176b,43.9,independent,https://huggingface.co/datasets/open-llm-leaderboard-old/details_bigscience__bloomz,2023-08-29,"TruthfulQA MC2 (harness|truthfulqa:mc|0, mc2 = 0.43939), 0-shot, HF Open LLM Leaderboard v1 evaluation-run JSON for bigscience/bloomz, confirmed via direct fetch of the raw results JSON."
btlm-3b-8k,35.9,self-reported,https://arxiv.org/abs/2309.11568,,"Zero-shot TruthfulQA (multiple choice), Table 7 of the BTLM paper (row 'TruthfulQA ↑ Multiple choice', BTLM-3B-8K column = 35.9). Verified directly via the PDF text. Not previously tracked for this model; other Table 7 rows (WinoGender, ToxiGen, CrowS-Pairs) and Table 6/10/11 long-context metrics have no matching taxonomy slug and are not included."
cerebras-gpt-13b,39.19,independent,https://huggingface.co/datasets/open-llm-leaderboard-old/details_cerebras__Cerebras-GPT-13B,2023-07-19,"TruthfulQA MC2 (0-shot), Open LLM Leaderboard details run (harness|truthfulqa:mc|0, mc2 0.39185)."
chinchilla,43.6,self-reported,https://arxiv.org/abs/2203.15556,,Zero-shot TruthfulQA accuracy (Section 4.2.5). Paper also reports 58.5% 5-shot and 66.7% 10-shot for Chinchilla on the same benchmark.
claude-2,69,self-reported,https://www-cdn.anthropic.com/5c49cc247484cecf107c699baf29250302e5da70/ModelCardClaudev2_with_appendix_v1.pdf,2023-07-11,"TruthfulQA 'With Free-Form Sampling' (Figure 4): Claude 2 scores 0.69, recorded here on this corpus's 0-100 percentage scale as 69. Non-standard methodology flagged explicitly: Anthropic samples an open-ended chatbot response and has a separate 'helpful-only' model match it to the closest multiple-choice option, rather than the more common direct MC2 scoring used by most other TruthfulQA rows in this corpus."
code-llama-34b-python,41.37,independent,https://huggingface.co/datasets/open-llm-leaderboard-old/details_codellama__CodeLlama-34b-Python-hf,2024-02-19,"MC2 score (harness|truthfulqa:mc|0: mc2=0.41373), HF Open LLM Leaderboard v1 (old) independent eval run, matching this corpus's established convention of using MC2 for Open-LLM-Leaderboard-sourced TruthfulQA rows."
command-r,52.32,independent,https://huggingface.co/datasets/open-llm-leaderboard-old/details_CohereForAI__c4ai-command-r-v01/resolve/main/results_2024-03-22T04-17-37.786335.json,,"Open LLM Leaderboard v1, harness|truthfulqa:mc|0, MC2 score."
dbrx,66.9,self-reported,https://www.databricks.com/blog/introducing-dbrx-new-state-art-open-llm,,"0-shot, DBRX Instruct"
