model_slug,score,source,source_url,evaluated_at,notes
amazon-nova-lite,80.2,self-reported,https://cdn.amazon.science/96/7d/0d3e59514abf8fdcfafcdc574300/nova-tech-report-20250317-0810.pdf,,"TextVQA (val, weighted accuracy) from Table 3 of the official Nova technical report. Note: this real, verified score (80.2) is above the taxonomy's stated textvqa range ceiling of 75 - flagging in case the range needs updating rather than omitting a genuine primary-source figure."
cogvlm-17b,70.4,self-reported,https://arxiv.org/pdf/2311.03079,,"Paper Table 2, VQA benchmarks, test split."
deepseek-vl2,84.2,self-reported,https://arxiv.org/html/2412.10302v1,2024-12-13,"Table 3 OCR-related row, verified via raw HTML grep: 'DeepSeek-VL2 4.1B † 0.4B 4.5B † 93.3 86.0 78.1 84.2 811' = DocVQA/ChartQA/InfoVQA/TextVQA/OCRBench for the Base variant. Note: 84.2 exceeds the taxonomy's stated textvqa range (40-75) but is the genuine, directly-confirmed paper figure — DeepSeek-VL2's OCR-focused design scores unusually high on this benchmark."
gemini-1-0-nano,65.9,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,2023-12-06,"Table 7, Gemini Nano-2 (3.25B) column, TextVQA (val), pixel-only, 0-shot."
gemini-1-0-pro,74.6,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,2023-12-06,"Table 7: Gemini Pro (pixel-only), TextVQA (val)."
gemini-1-0-ultra,82.3,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,2023-12-06,"Table 7 (Image understanding), TextVQA (val), pixel-only (no external OCR), greedy 0-shot. Verified via direct PDF page extraction."
gemini-1-5-flash,78.7,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,2024-05-01,"TextVQA val split, 0-shot, Table 18 (also corroborated at the same value in Table 22)."
gemini-1-5-flash-8b,66.7,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,2024-10-01,"Table 22, 0-shot, visual QA on text within images."
gemini-1-5-pro,78.7,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,2024-05-01,"TextVQA val split, 0-shot, Table 18."
gemma-3-12b,67.7,self-reported,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-12,"Gemma 3 12B IT column, Table 16 of the Gemma 3 Technical Report."
gemma-3-4b,57.8,self-reported,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-12,"Table 16, IT 4B."
idefics-80b,30.9,self-reported,https://huggingface.co/HuggingFaceM4/idefics-80b,,0-shot
idefics2-8b,73,self-reported,https://huggingface.co/blog/idefics2,,
internvl2-5-78b,83.4,self-reported,https://internvl.github.io/blog/2024-12-05-InternVL-2.5/,,TextVQA val; exceeds the textvqa slug's stated 40-75 range but is the verbatim published number
internvl3-78b,84.3,self-reported,https://internvl.github.io/blog/2025-04-11-InternVL-3.0/,,TextVQA val; exceeds the textvqa slug's stated 40-75 range but is the verbatim published number
minicpm-llama3-v-2-5,76.6,self-reported,https://github.com/OpenBMB/MiniCPM-V/blob/main/docs/minicpm_llama3_v2dot5.md,2024-05-20,"TextVQA val split; slightly exceeds the taxonomy's typical 40-75 range for this benchmark but is the genuine, directly-confirmed official figure."
minicpm-o-2-6,82,self-reported,https://huggingface.co/openbmb/MiniCPM-o-2_6,2025-01-13,"TextVQA val split; exceeds the taxonomy's typical 40-75 range for this benchmark but is the genuine, directly-confirmed official figure."
minicpm-v-2-6,80.1,self-reported,https://github.com/OpenBMB/MiniCPM-V/blob/main/docs/minicpm_v2dot6_en.md,2024-08-06,"TextVQA val split; exceeds the taxonomy's typical 40-75 range for this benchmark but is the genuine, directly-confirmed official figure."
