model_slug,score,source,source_url,evaluated_at,notes
cogvlm-17b,82.3,self-reported,https://arxiv.org/pdf/2311.03079,,"Ranked 2nd overall, surpassing/matching PaLI-X 55B [Corrected during full-corpus audit: Directly extracted the full paper PDF text (via pdftotext) rather than relying on a web summary. The paper's actual data tables (Table 2, VQA benchmarks, test-dev split, and Table 3, generalist section, 'single task' row) both report CogVLM's VQAv2 score as 84.7. The figure 84.38 does not appear in either data table; it appears to have been misread from the numeric labels scattered around Figure 1] [score corrected during round-5 full-corpus accuracy re-verify: 84.38 -> 82.3]"
gemini-1-0-nano,67.5,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,2023-12-06,"Table 7, Gemini Nano-2 (3.25B) column, VQAv2 (test-dev), pixel-only, 0-shot."
gemini-1-0-pro,71.2,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,2023-12-06,"Table 7: Gemini Pro (pixel-only), VQAv2 (test-dev)."
gemini-1-0-ultra,77.8,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,2023-12-06,"Table 7 (Image understanding), VQAv2 (test-dev), pixel-only, greedy 0-shot."
gemini-1-5-flash,80.1,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,2024-05-01,"VQAv2 test-dev split, 0-shot, Table 18 of the Gemini 1.5 technical report."
gemini-1-5-pro,80.2,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,2024-05-01,"VQAv2 test-dev split, 0-shot, Table 18."
gemma-3-12b,71.6,self-reported,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-12,"VQAv2 (val), Gemma 3 12B IT column, Table 16 of the Gemma 3 Technical Report."
gemma-3-4b,62.4,self-reported,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-12,"Table 16, IT 4B, VQAv2 (val)."
idefics-80b,60,self-reported,https://huggingface.co/HuggingFaceM4/idefics-80b,,0-shot
idefics2-8b,81.2,self-reported,https://huggingface.co/blog/idefics2,,
llama-3-2-11b-vision,75.2,self-reported,https://github.com/meta-llama/llama-models/blob/main/models/llama3_2/MODEL_CARD_VISION.md,2024-09-01,"Instruct, VQAv2 (test) 0-shot acc"
llama-3-2-90b-vision,78.1,self-reported,https://huggingface.co/meta-llama/Llama-3.2-90B-Vision-Instruct,,VQAv2 test accuracy
molmo-2-8b,87,self-reported,https://arxiv.org/abs/2601.10611,,"VQA v2.0; Molmo2 Technical Report Table 6. This is the single highest score in the entire column across every open-weight/open model listed, matching the paper's explicit claim of 'state-of-the-art performance on VQA v2.0' among open models - strong confirmation of correct column mapping."
molmo-72b,86.5,self-reported,https://arxiv.org/abs/2409.17146,2024-09-25,"VQA v2.0 test-dev; Molmo Technical Report Table 1, Molmo-72B row."
pixtral-12b,78.6,self-reported,https://huggingface.co/mistralai/Pixtral-12B-2409,2024-09-11,VQAv2 (VQA Match) row of the Multimodal Benchmarks table.
pixtral-large-124b,80.9,self-reported,https://huggingface.co/mistralai/Pixtral-Large-Instruct-2411,2024-11-18,VQAv2 (VQA Match) row of the same table.
qwen-vl,78.8,self-reported,https://huggingface.co/Qwen/Qwen-VL,,Zero-shot VQAv2 test-dev
reka-core,78.1,self-reported,https://arxiv.org/html/2404.12387v1,,Table 5 of the Reka Core/Flash/Edge technical report.
reka-edge-2026,88.4,self-reported,https://huggingface.co/RekaAI/reka-edge-2603,,
reka-flash-21b,78.4,self-reported,https://arxiv.org/html/2404.12387v1,,"VQAv2 0-shot score for Reka Flash, Table 15 / Table 5"
