model_slug,score,source,source_url,evaluated_at,notes
claude-opus-4-5,67.8,self-reported,https://www.vellum.ai/blog/claude-opus-4-6-benchmarks,2025-11-24,"Standard single-agent BrowseComp figure from Anthropic's system card, distinct from the higher 'BrowseComp-Plus' fetch-enabled figure (85.3%) Anthropic also reports separately."
claude-opus-4-6,84,self-reported,https://www.vellum.ai/blog/claude-opus-4-6-benchmarks,2026-02-05,"Standard single-agent figure per the dedicated Opus 4.6 benchmarks article (direct fetch). Anthropic's own launch page (anthropic.com/news/claude-opus-4-6) separately states 86.8% 'with a multi-agent harness' — a different configuration, not this headline number. A later retrospective Vellum article (claude-opus-4-7-benchmarks-explained) lists Opus 4.6 at 83.7% for the same benchmark; kept the dedicated article's 84.0% as the primary figure."
claude-opus-4-7,79.3,self-reported,https://www.vellum.ai/blog/claude-opus-4-7-benchmarks-explained,,
claude-opus-4-8,84.3,self-reported,https://benchlm.ai/models/claude-opus-4-8,2026-05-28,"Single-agent configuration, attributed to Anthropic's official system card per multiple corroborating sources; multi-agent harness scored 88.5% per the same source."
claude-sonnet-4-5,43.9,self-reported,https://www-cdn.anthropic.com/bbd8ef16d70b7a1665f14f306ee88b53f686aa75/Claude%20Sonnet%204.6%20System%20Card.pdf,2026-02-17,"BrowseComp (1,266 web-navigation questions), single-agent configuration with web search/fetch tools, thinking DISABLED (Anthropic found Sonnet 4.6-family models perform better on this eval without adaptive thinking). Sonnet 4.5 comparison bar in the Claude Sonnet 4.6 System Card, Section 2.20.1.1, Figure 2.20.1.1.A -- read directly from the primary-source PDF (43.9%). Not currently tracked in this corpus for this model; this same document is already the corpus's established source for several of this model's other rows (terminal-bench-2, tau2-bench-telecom, osworld-verified, arc-agi-2, gdpval-aa, mmmu-pro, hle)."
claude-sonnet-4-6,74.01,self-reported,https://www.anthropic.com/claude-sonnet-4-6-system-card,2026-02-17,"BrowseComp, single-orchestrator agent with context compaction, max reasoning effort, no thinking, 10M total sampled tokens (Section 2.20.1). Performance scaled with compute: 64.69% at 1M tokens, 69.67% at 3M."
claude-sonnet-5,84.7,self-reported,https://www.anthropic.com/claude-sonnet-5-system-card,2026-06-30,"BrowseComp, single-agent configuration, adaptive thinking at max effort, 10M-token context-compaction limit (Section 8.9.2). With a multi-agent orchestrator setup, Sonnet 5 scored 86.6%."
deepseek-v3-1-thinking,30,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3.1,,"BrowseComp (Acc.), Thinking mode, from official HF model card benchmark table"
deepseek-v3-2-exp,40.1,self-reported,https://github.com/deepseek-ai/DeepSeek-V3.2-Exp,,
deepseek-v4-flash-think-high,53.5,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,2026-04-24,"BrowseComp Pass@1, Think High mode. Cross-verified identical value in DeepSeek-V4 tech report Table 7 (arXiv:2606.19348)."
