model_slug,score,source,source_url,evaluated_at,notes
aya-vision-32b,70.43,self-reported,https://www.datalearner.com/en/ai-models/pretrained-models/aya-vision-32b,,"[relabeled self-reported: aggregator/press relay of a vendor figure, not an independent re-measurement]"
baichuan2-13b,30.2,self-reported,https://github.com/baichuan-inc/Baichuan2/blob/main/README_EN.md,,"3-shot, Baichuan2-13B-Base; from the official README's Math & Code results table (also matches the arXiv 2309.10305 technical report)."
baichuan2-7b,24.2,self-reported,https://github.com/baichuan-inc/Baichuan2/blob/main/README_EN.md,,"3-shot, Baichuan2-7B-Base."
chatglm3-6b,52.4,self-reported,https://github.com/zai-org/ChatGLM3/blob/main/README_en.md,,ChatGLM3-6B-Base checkpoint
claude-3-haiku,80.4,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-13,Pass@1
claude-3-opus,86.4,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-04,Pass@1
claude-3-sonnet,79.4,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-04,Pass@1
code-llama-13b,47,self-reported,https://arxiv.org/html/2308.12950v3,2023-08-01,"pass@1, base Code Llama 13B"
code-llama-34b,55,self-reported,https://arxiv.org/html/2308.12950v3,2023-08-01,"pass@1, base Code Llama 34B"
code-llama-34b-python,56.2,self-reported,https://arxiv.org/html/2308.12950v3,2023-08-01,"pass@1, Code Llama - Python 34B"
code-llama-70b,62.4,self-reported,https://arxiv.org/html/2308.12950v3,2024-01-29,"pass@1, base Code Llama 70B. Table 2 of the Code Llama paper (arXiv 2308.12950v3). Confirmed via two independent direct fetches of the paper; consistent across sources."
code-llama-70b-instruct,62.2,self-reported,https://arxiv.org/html/2308.12950v3,2024-01-29,"pass@1, Code Llama - Instruct 70B, Table 2 of the Code Llama paper (arXiv 2308.12950v3, updated when the 70B family was released Jan 29 2024). Directly fetched and cross-confirmed via two independent fetches plus corroborating web search; not currently in the corpus (only HumanEval is recorded)."
code-llama-7b,41.4,self-reported,https://arxiv.org/html/2308.12950v3,2023-08-01,"pass@1, base Code Llama 7B"
codegeex-13b,22.44,self-reported,https://arxiv.org/pdf/2303.17568,,"CodeGeeX-13B MBPP Pass@1, 3-shot setting (paper Table 11, Appendix A.4.2). The same table also reports a 1-shot setting result of Pass@1=24.37; I picked the 3-shot figure as it matches the standard MBPP paper convention."
codegemma-7b,56.2,self-reported,https://ai.google.dev/gemma/docs/codegemma/model_card,,7B pretrained (PT) variant
codegen-16b-mono,35.28,self-reported,https://ar5iv.labs.arxiv.org/html/2203.13474,,"pass@1 on sanitized MBPP (n=100, temperature=0.8), CodeGen-Mono 16.1B, Table 11 of the CodeGen paper (arXiv 2203.13474)"
codeqwen1-5-7b,72.2,self-reported,https://qwenlm.github.io/blog/codeqwen1.5/,2024-04-16,"Base model, 0-shot"
codestral-22b,78.2,self-reported,https://www.analyticsvidhya.com/blog/2024/06/codestral-22b/,2024-05-01,"[relabeled self-reported: aggregator/mirror relay of a vendor figure, not an independent re-measurement]"
codestral-25-01,80.2,self-reported,https://mistral.ai/news/codestral-2501/,,
codestral-mamba-7b,68.5,self-reported,https://huggingface.co/mistralai/Mamba-Codestral-7B-v0.1,,From the official HF model card's evaluation table; independently cross-confirmed against the identical table rendered from the official mistral.ai/news/codestral-mamba/ launch-blog chart image.
comma-v0-1-2t,41.5,self-reported,https://huggingface.co/common-pile/comma-v0.1-2t,,
deepseek-coder-33b,70,self-reported,https://ar5iv.labs.arxiv.org/html/2401.14196,,"Instruct-33B, from paper Table 3"
deepseek-llm-67b,61.4,self-reported,https://ar5iv.labs.arxiv.org/html/2401.02954,,"DeepSeek LLM 67B Chat, paper Table 6, pass@1"
deepseek-v2-236b,72,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V2-Chat,,Chat (RL) variant
deepseek-vl-7b,35.2,self-reported,https://arxiv.org/html/2403.05525v2,2024-03-08,"Table 7, DeepSeek-VL 7B Chat column: 'MBPP 10.0 35.2 35.2'."
deepseekmoe-16b,39.2,self-reported,https://ar5iv.labs.arxiv.org/html/2401.06066,2024-01-11,"Table 3, MBPP Pass@1 3-shot, DeepSeekMoE 16B column."
falcon-h1-34b,83.86,self-reported,https://huggingface.co/tiiuae/Falcon-H1-34B-Instruct,,
gemini-1-0-nano,27.2,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,2023-12-06,"Gemini Nano-2 (3.25B), Table 3."
gemma-2-27b,62.6,self-reported,https://huggingface.co/google/gemma-2-27b,2024-06-01,3-shot
gemma-2-9b,52.4,self-reported,https://huggingface.co/google/gemma-2-9b,2024-06-01,3-shot
gemma-2b,29.2,self-reported,https://huggingface.co/google/gemma-2b,,3-shot
gemma-3-12b,73,self-reported,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-12,"Gemma 3 12B IT column, Table 18 ('Performance of instruction fine-tuned (IT) models of different sizes on more internal and external benchmarks'), Gemma 3 Technical Report. Independently corroborated by third-party benchmark aggregators."
gemma-3-4b,63.2,self-reported,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-12,"Table 18, IT 4B, pass@1."
gemma-7b,44.4,self-reported,https://storage.googleapis.com/deepmind-media/gemma/gemma-report.pdf,2024-02-21,"Table 6, 3-shot."
granite-3-0-2b-instruct,41,self-reported,https://huggingface.co/ibm-granite/granite-3.0-2b-instruct,,pass@1
granite-3-0-8b-instruct,49.6,self-reported,https://huggingface.co/ibm-granite/granite-3.0-8b-instruct,,"MBPP, pass@1. Confirmed in HF model-index YAML and technical report Table 10."
granite-4-0-h-small,84,self-reported,https://huggingface.co/ibm-granite/granite-4.0-h-small,,
granite-4-1-8b-instruct,87.3,self-reported,https://huggingface.co/ibm-granite/granite-4.1-8b,,pass@1
hunyuan-large-a52b,72.6,self-reported,https://huggingface.co/tencent/Tencent-Hunyuan-Large,,Pretrain/base model table.
inflection-1,43.8,self-reported,https://inflection.ai/assets/Inflection-1.pdf,2023-06-23,"pass@1, 3-shot prompt (Table 9 of the technical memo)."
inflection-2,53,self-reported,https://www.searchenginejournal.com/new-ai-model-outperforms-googles-powerful-palm-2/502191/,2023-11-27,"Confirmed via direct raw-HTML fetch (not summarized) of the SEJ article: literal text 'MBPP Scores: LLaMA-2 70B: 45.0 | PaLM-2S: 50.0 | Inflection-2: 53.0' appears verbatim in the page body, relaying Inflection AI's own published chart (the inflection.ai/inflection-2 blog page shows the same data only as an unreadable chart image, so this press relay is the only text-form citation found). Labeled self-reported per the corpus's existing convention for this same source/page (aggregator relay of a vendor-published figure, not an independent re-measurement)."
