model_slug,score,source,source_url,evaluated_at,notes
ai21-jamba-1-5-large,81.5,self-reported,https://arxiv.org/html/2408.12570v1,,
ai21-jamba-1-5-mini,75.8,self-reported,https://arxiv.org/html/2408.12570v1,,
amazon-nova-lite,89.7,self-reported,https://deepranking.ai/llm-models/nova-lite,,"[relabeled self-reported: aggregator/press relay of a vendor figure, not an independent re-measurement]"
amazon-nova-micro,87.2,self-reported,https://deepranking.ai/llm-models/nova-micro,,"[relabeled self-reported: aggregator/press relay of a vendor figure, not an independent re-measurement]"
amazon-nova-premier,91.5,self-reported,https://assets.amazon.science/e5/e6/ccc5378c42dca467d1abe1628ec9/amazon-nova-premier-technical-report-and-model-card.pdf,2025-04-30,"Instruction-level accuracy, loose constraints (Table 1)."
amazon-nova-pro,92.1,self-reported,https://deepranking.ai/llm-models/nova-pro,,"[relabeled self-reported: aggregator/press relay of a vendor figure, not an independent re-measurement]"
bloom-7b1,9.06,independent,https://huggingface.co/datasets/open-llm-leaderboard/results/blob/main/bigscience/bloom-7b1/results_2025-02-13T18-27-04.338360.json,2025-02-13,"prompt-level strict accuracy on IFEval, same HF Open LLM Leaderboard v2 results file."
claude-3-5-haiku,85.9,self-reported,https://assets.anthropic.com/m/1cd9d098ac3e6467/original/Claude-3-Model-Card-October-Addendum.pdf,2024-11-04,Table 8.
claude-3-5-sonnet,87.8,self-reported,https://assets.anthropic.com/m/1cd9d098ac3e6467/original/Claude-3-Model-Card-October-Addendum.pdf,2024-10-22,"Table 7; introduced as a 'new benchmark' in the October addendum, reported retroactively for the original Sonnet."
claude-3-5-sonnet-new,90.2,self-reported,https://assets.anthropic.com/m/1cd9d098ac3e6467/original/Claude-3-Model-Card-October-Addendum.pdf,2024-10-22,Table 7.
claude-3-7-sonnet,90.8,self-reported,https://www.anthropic.com/news/claude-3-7-sonnet,2025-02-24,"Instruction-following (IFEval), standard mode / no extended thinking. Extended-thinking mode scores 93.2%."
command-a,90.9,self-reported,https://arxiv.org/abs/2504.00698,,
command-r,62.66,independent,https://huggingface.co/datasets/open-llm-leaderboard/results/resolve/main/CohereForAI/c4ai-command-r-v01/results_2025-02-13T18-27-04.338360.json,,"Open LLM Leaderboard v2, leaderboard_ifeval, prompt_level_strict_acc."
command-r7b,77.9,self-reported,https://arxiv.org/abs/2504.00698,,
deepseek-r1-671b,83.3,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1,2025-01-20,IF-Eval Prompt Strict accuracy
deepseek-v3-671b,86.1,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3,,"IF-Eval (Prompt Strict), Chat model, from official HF model card / DeepSeek-V3 technical report benchmark table"
ernie-4-5-300b-a47b,88,self-reported,https://ernie.baidu.com/blog/publication/ERNIE_Technical_Report.pdf,2025-06-29,Table 5.
exaone-4-5,89.6,self-reported,https://arxiv.org/abs/2604.08644,2026-04-09,
falcon-h1-34b,89.37,self-reported,https://huggingface.co/tiiuae/Falcon-H1-34B-Instruct,,
falcon-mamba-7b,33.36,independent,https://huggingface.co/blog/falconmamba,2024-08-12,
falcon3-10b,78.17,self-reported,https://huggingface.co/tiiuae/Falcon3-10B-Instruct,,
falcon3-7b,76.5,self-reported,https://huggingface.co/tiiuae/Falcon3-7B-Instruct,,
gemma-3-4b,90.2,self-reported,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-12,"Table 18, IT 4B."
glm-4,83.7,self-reported,https://arxiv.org/html/2406.12793v1,2024-05-20,"IFEval English Loose-Prompt (L-P) accuracy for GLM-4 (0520), Table 3. Same table also reports English Loose-Instruction 88.7, English Strict-Prompt 79.1, Chinese Loose-Prompt 79.7 for the identical checkpoint."
glm-4-32b-0414,87.6,self-reported,https://huggingface.co/zai-org/GLM-4-32B-0414,,IFEval
glm-4-5-355b-a32b,86.1,self-reported,https://arxiv.org/abs/2508.06471,,"IFEval (Prompt Strict), Table 6."
glm-4-5-air-106b-a12b,86.3,self-reported,https://arxiv.org/abs/2508.06471,,"IFEval (Prompt Strict), Table 6."
glm-4-9b-chat,69,self-reported,https://huggingface.co/THUDM/glm-4-9b-chat,,
glm-4-plus,79.5,self-reported,https://docs.bigmodel.cn/cn/guide/models/text/glm-4,,From official Zhipu/Z.ai docs evaluation table; GLM-4-Plus vs GPT-4o 81.9 (97%).
glm-z1-32b-0414,84.5,self-reported,https://github.com/zai-org/GLM-4/blob/main/README.md,,From the official GitHub README benchmark chart.
gpt-4-1-mini,84.1,self-reported,https://docsbot.ai/models/gpt-4-1-mini,2025-04-01,"[relabeled self-reported: aggregator/mirror relay of a vendor figure, not an independent re-measurement]"
gpt-4-1-nano,74.5,self-reported,https://docsbot.ai/models/gpt-4-1-nano,2025-04-14,Relayed from OpenAI's official GPT-4.1-family launch benchmark table.
gpt-4o,85.6,independent,https://arxiv.org/abs/2407.21783,2024-07-23,"From Table 2 of Meta's 'The Llama 3 Herd of Models' (arXiv 2407.21783), which independently evaluated GPT-4o as a comparison baseline for the Llama 3.1 release. Verified directly against the paper's PDF table."
granite-3-0-2b-instruct,46.07,self-reported,https://huggingface.co/ibm-granite/granite-3.0-2b-instruct,,
granite-3-0-8b-instruct,52.27,self-reported,https://huggingface.co/ibm-granite/granite-3.0-8b-instruct,,
granite-3-1-8b-instruct,72.08,independent,https://huggingface.co/ibm-granite/granite-3.1-8b-instruct,,HF Open LLM Leaderboard V2
granite-3-2-8b-instruct,74.31,self-reported,https://huggingface.co/ibm-granite/granite-3.2-8b-instruct,,
granite-3-3-8b-instruct,74.82,self-reported,https://huggingface.co/ibm-granite/granite-3.3-8b-instruct,,
granite-4-0-h-small,87.55,self-reported,https://huggingface.co/ibm-granite/granite-4.0-h-small,,Average of instruct + prompt strict
granite-4-1-8b-instruct,87.06,self-reported,https://huggingface.co/ibm-granite/granite-4.1-8b,,IFEval Avg
hermes-3-405b,84.87,self-reported,https://arxiv.org/pdf/2408.11857,,"Strict accuracy, Table 5."
hunyuan-a13b,84.7,self-reported,https://huggingface.co/tencent/Hunyuan-A13B-Instruct,,IF-Eval strict-prompt.
hunyuan-large-a52b,85,self-reported,https://huggingface.co/tencent/Tencent-Hunyuan-Large,,"IFEval strict-prompt, Instruct-model table."
hunyuan-turbos,87.6,self-reported,https://arxiv.org/abs/2505.15431,2025-04-16,Table 4 accuracy
internlm3-8b-instruct,79.3,self-reported,https://internlm.readthedocs.io/en/latest/model_card/InternLM3.html,,
jamba2-mini,97,self-reported,https://www.ai21.com/blog/introducing-jamba2/,,"Read directly off the same chart (value 0.97). Note this is 1pt above the taxonomy's stated ifeval range ceiling of 96 -- flagging in case that range needs updating, but the number as published by AI21 is 0.97."
kimi-k1-5,87.2,self-reported,https://arxiv.org/abs/2501.12599,,"IF-Eval (Prompt Strict) = 87.2, Kimi k1.5 short-CoT model, Table 3."
