model_slug,score,source,source_url,evaluated_at,notes
ai21-jamba,64.4,self-reported,https://huggingface.co/ai21labs/Jamba-v0.1,,
ai21-jamba-1-5-large,93,self-reported,https://arxiv.org/html/2408.12570v1,,
ai21-jamba-1-5-mini,85.7,self-reported,https://arxiv.org/html/2408.12570v1,,
airoboros-70b-l2,68.5,independent,https://raw.githubusercontent.com/dsdanielpark/Open-LLM-Leaderboard-Report/main/assets/20230904/20230904.csv,2023-09-04,"HF Open LLM Leaderboard snapshot, 25-shot"
amazon-nova-lite,92.4,self-reported,https://cdn.amazon.science/96/7d/0d3e59514abf8fdcfafcdc574300/nova-tech-report-20250317-0810.pdf,,"ARC-Challenge (0-shot) from Table 2 (core text capabilities) of the official 'Amazon Nova Family of Models: Technical Report and Model Card' (also on arXiv as 2506.12103), fetched and read directly."
amazon-nova-micro,90.2,self-reported,https://deepranking.ai/llm-models/nova-micro,,"[relabeled self-reported: aggregator/press relay of a vendor figure, not an independent re-measurement]"
amazon-nova-pro,94.8,self-reported,https://deepranking.ai/llm-models/nova-pro,,"[relabeled self-reported: aggregator/press relay of a vendor figure, not an independent re-measurement]"
apple-dclm-baseline-7b,59.9,self-reported,https://huggingface.co/apple/DCLM-Baseline-7B,,"'ARC Challenge' row (0.5990) on the model's official HF eval table, same table the existing arc-easy/mmlu/winogrande/gsm8k/hellaswag entries were sourced from."
apple-openelm-270m-3b,35.58,self-reported,https://huggingface.co/apple/OpenELM,2024-04-01,"OpenELM-3B (pretrained), ARC-Challenge, zero-shot"
aya-23-35b,61.69,independent,https://huggingface.co/datasets/open-llm-leaderboard/results/resolve/main/CohereForAI/aya-23-35B/results_2025-02-13T18-27-04.338360.json,2025-02-13,"Open LLM Leaderboard v2, leaderboard_arc_challenge, acc_norm. New for this model."
bloom-176b,50.4,independent,https://huggingface.co/datasets/open-llm-leaderboard-old/details_bigscience__bloom,2023-08-29,"25-shot acc_norm (harness|arc:challenge|25 = 0.50427), HF Open LLM Leaderboard v1 evaluation-run JSON for bigscience/bloom (confirmed config_general.model_name = 'bigscience/bloom', the 176B model), confirmed via direct fetch of the raw results JSON."
