model_slug,score,source,source_url,evaluated_at,notes
claude-fable-5,85,self-reported,https://www.anthropic.com/news/claude-fable-5-mythos-5,2026-06-09,"OSWorld-Verified (computer use), from the same official comparison chart (ahead of Opus 4.8's 83.4%; Claude Mythos Preview scored marginally higher at 85.4% but that is a different, earlier model)."
claude-haiku-4-5,50.7,self-reported,https://www.anthropic.com/news/claude-haiku-4-5,2025-10-15,"False positive: scanner matched the substring 'OSWorld' inside 'OSWorld-Verified' and mistook it for a second, separate benchmark reference."
claude-opus-4-5,66.3,self-reported,https://www.vellum.ai/blog/claude-opus-4-6-benchmarks,2025-11-24,"Anthropic's system card reports this as OSWorld-Verified (P@1, avg@5, 66.26%); some vendor-relayed tables abbreviate the label to plain 'OSWorld', but the score (66.3%) is far above the original OSWorld benchmark's typical range, confirming it is the Verified variant."
claude-opus-4-5-high,66.3,self-reported,https://www.anthropic.com/news/claude-opus-4-5,2025-11-24,"Computer use / OSWorld, 1080p resolution, 100 steps, P@1 avg@5 = 66.26% per system card Section 2.9 (chart rounds to 66.3%). Score range confirms this is the 'Verified' variant (taxonomy's plain 'osworld' caps at 40%, far below this figure)."
claude-opus-4-6,72.7,self-reported,https://www.vellum.ai/blog/claude-opus-4-6-benchmarks,2026-02-05,Labeled 'OSWorld' in the vendor-relayed comparison table but is OSWorld-Verified — score range and other search corroboration ('Claude Opus 4.6 achieved 72.7% on OSWorld-Verified') confirm this.
claude-opus-4-7,78,self-reported,https://www.vellum.ai/blog/claude-opus-4-7-benchmarks-explained,2026-04-16,Confirmed via direct fetch of the Opus 4.7-vs-4.6 comparison table (Opus 4.7: 78.0% vs Opus 4.6: 72.7%).
claude-opus-4-8,83.4,self-reported,https://www.vellum.ai/blog/claude-opus-4-8-benchmarks-explained,,PROPOSED NEW SLUG: 'osworld-verified' has no existing match in the valid slug list. Pass@1 on the OSWorld-Verified computer-use benchmark.
claude-sonnet-4-5,61.4,self-reported,https://www.anthropic.com/claude-sonnet-4-6-system-card,2026-02-17,"OSWorld-Verified, first-attempt success rate. Confirmed both in Sonnet 4.6 System Card Table 2.1.A/Figure 2.6.A (Sonnet 4.5 column = 61.4%) and independently in Sonnet 4.5's own launch announcement, which cites the same figure."
claude-sonnet-4-6,72.5,self-reported,https://venturebeat.com/technology/anthropics-sonnet-4-6-matches-flagship-ai-performance-at-one-fifth-the-cost,,Essentially tied with Opus 4.6's 72.7% at launch. See proposed-slug note on the Opus 4.8 entry.
claude-sonnet-5,81.2,self-reported,https://www.vellum.ai/blog/claude-sonnet-5-benchmarks-explained,,See proposed-slug note on the Opus 4.8 entry.
gemini-3-5-flash,78.4,self-reported,https://deepmind.google/models/gemini/flash/,2026-05-19,"OSWorld-Verified, agentic computer-use benchmark."
gemini-3-5-flash-lite,74,self-reported,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-6-flash-3-5-flash-lite-3-5-flash-cyber/,2026-07-21,"OSWorld-Verified, computer use, official launch blog (74.0% vs 65.1% for Gemini 3 Flash). Corroborated by 9to5Google."
gemini-3-6-flash,83,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-6-Flash-Model-Card.pdf,2026-07-21,"OSWorld-Verified, computer use, official model card (83.0% vs 78.4% for Gemini 3.5 Flash). Confirmed by BenchLM.ai and 9to5Google."
gpt-5-4,75,self-reported,https://the-decoder.com/openai-launches-gpt-5-4-thinking-and-pro-combining-coding-reasoning-and-computer-use-in-one-model/,2026-03-05,"OSWorld-Verified score for GPT-5.4 standard/Thinking tier, found in the same the-decoder.com launch-day comparison table already used as the source for this model's other 9 results (directly re-fetched and reconfirmed present in this pass, in the row 'OSWorld-Verified | GPT-5.4 75.0% | GPT-5.4 Pro - | GPT-5.3 Codex 74.0% | GPT-5.2 47.3% | GPT-5.2 Pro -'). GPT-5.4 Pro has no published number for this benchmark in the same table."
gpt-5-4-mini,72.1,self-reported,https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,2026-03-17,"OSWorld-Verified, xhigh reasoning effort. Cross-confirmed verbatim by datacamp.com/blog/gpt-5-4-mini-nano."
gpt-5-4-nano,39,self-reported,https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,2026-03-17,"OSWorld-Verified, xhigh reasoning effort -- weaker than GPT-5 mini's 42.0% here since nano isn't tuned for computer-use/vision tasks. Cross-confirmed verbatim by datacamp.com/blog/gpt-5-4-mini-nano."
gpt-5-5,78.7,self-reported,https://llm-stats.com/blog/research/gpt-5-5-vs-gpt-5-4,2026-04-23,"OSWorld-Verified for base GPT-5.5, labeled OpenAI self-reported launch-post figure by llm-stats.com; independently corroborated at the identical 78.7% by kingy.ai's 'quoted verbatim from OpenAI's evaluation tables' rundown and by buildfastwithai's review."
gpt-5-mini,42,self-reported,https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,2026-03-17,"OSWorld-Verified (computer-use / GUI agent benchmark), GPT-5 mini (high) baseline column. The same launch post notes GPT-5.4 mini 'approaches GPT-5.4 while substantially outperforming GPT-5 mini' on this eval."
kimi-k2-5,63.3,self-reported,https://www.kimi.com/blog/kimi-k2-5,,
kimi-k2-6,73.1,self-reported,https://www.kimi.com/blog/kimi-k2-6,,"OSWorld-Verified, from the official Kimi K2.6 tech blog Agentic benchmark table (Kimi K2.5's own OSWorld-Verified score of 63.3 is already recorded on the sibling K2.5 corpus entry)."
