model_slug,score,source,source_url,evaluated_at,notes
claude-3-5-sonnet,94.7,self-reported,https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,2024-06-20,"test split, Table 2."
claude-3-5-sonnet-new,95.3,self-reported,https://assets.anthropic.com/m/1cd9d098ac3e6467/original/Claude-3-Model-Card-October-Addendum.pdf,2024-10-22,"test split, 0-shot, Table 5."
claude-3-haiku,86.7,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-13,"AI2D science-diagram test set, from Table 3 of the Claude 3 Model Card."
claude-3-opus,88.1,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-04,"AI2D science-diagram test set, from Table 3 of the Claude 3 Model Card."
claude-3-sonnet,88.7,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-04,"AI2D science-diagram test set, from Table 3 of the Claude 3 Model Card (Sonnet's best result of the family on this one)."
deepseek-vl2,81.4,self-reported,https://arxiv.org/html/2412.10302v1,2024-12-13,"Table 4 general-QA/math row, verified via raw HTML grep: 'DeepSeek-VL2 4.5B † 61.3 81.4 51.1 2,253 83.1 79.6 79.2 63.6 68.4 62.8' = MMStar/AI2D/MMMU/MME/MMBench(en)/MMBench(cn)/MMBench-V1.1(testmini)/MMT-Bench/RealWorldQA/MathVista for the Base (4.5B activated) variant."
ernie-4-5-vl-424b-a47b,95.3,self-reported,https://ernie.baidu.com/blog/publication/ERNIE_Technical_Report.pdf,2025-06-29,"Table 8, thinking mode."
exaone-4-5,89,self-reported,https://arxiv.org/abs/2604.08644,2026-04-09,
gemini-1-0-nano,51,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,2023-12-06,"Table 7, Gemini Nano-2 (3.25B) column, AI2D (test), pixel-only, 0-shot."
gemini-1-0-pro,73.9,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,2023-12-06,"Table 7: Gemini Pro (pixel-only), AI2D (test)."
gemini-1-0-ultra,79.5,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,2023-12-06,"Table 7 (Image understanding), AI2D (test), pixel-only, greedy 0-shot."
