model_slug,score,source,source_url,evaluated_at,notes
deepseek-vl2,83.1,self-reported,https://arxiv.org/html/2412.10302v1,2024-12-13,"Same Table 4 row as above; plain MMBench (EN test) column, distinct from the MMBench-V1.1 (testmini) score of 79.2 already recorded in the corpus under the generic 'mmbench' slug."
ernie-4-5-vl-424b-a47b,92,self-reported,https://ernie.baidu.com/blog/publication/ERNIE_Technical_Report.pdf,2025-06-29,"Table 8, thinking mode."
glm-4v-9b,81.1,self-reported,https://huggingface.co/THUDM/glm-4v-9b,,MMBench-EN-Test
internvl2-5-78b,88.3,self-reported,https://internvl.github.io/blog/2024-12-05-InternVL-2.5/,,MMBench v1.0 EN test
internvl3-78b,89,self-reported,https://internvl.github.io/blog/2025-04-11-InternVL-3.0/,,MMBench v1.0 EN test
minicpm-llama3-v-2-5,77.2,self-reported,https://github.com/OpenBMB/MiniCPM-V/blob/main/docs/minicpm_llama3_v2dot5.md,2024-05-20,Reported as 'MMB test (en)' in the official results table.
minicpm-o-2-6,80.5,self-reported,https://huggingface.co/openbmb/MiniCPM-o-2_6,2025-01-13,Reported as 'MMB1.1 test' (harder MMBench-EN 1.1 revision) on the official model card.
minicpm-v-2-6,78,self-reported,https://github.com/OpenBMB/MiniCPM-V/blob/main/docs/minicpm_v2dot6_en.md,2024-08-06,Reported as 'MMB1.1 test' (harder MMBench-EN 1.1 revision).
phi-4-multimodal-5-6b,86.7,self-reported,https://arxiv.org/abs/2503.01743,,"Table 1, 'MMBench (dev-en)'."
phi-4-multimodal-instruct,86.7,self-reported,https://arxiv.org/abs/2503.01743,,"Table 1, MMBench (dev-en)."
qwen2-5-vl-72b,88,self-reported,https://huggingface.co/Qwen/Qwen2.5-VL-72B-Instruct,2025-01-28,MMBench_DEV_EN_V11
qwen2-vl-72b,86.5,self-reported,https://huggingface.co/Qwen/Qwen2-VL-72B-Instruct,,MMBench-EN test split.
qwen3-5-122b-a10b,92.8,self-reported,https://huggingface.co/Qwen/Qwen3.5-122B-A10B,,Reported as 'MMBench EN-DEV-v1.1'.
qwen3-5-397b-a17b,93.7,self-reported,https://huggingface.co/Qwen/Qwen3.5-397B-A17B,,"Reported as 'MMBench(EN-DEV-v1.1)' in the Vision-Language table, General VQA section."
qwen3-5-omni-flash,88.8,self-reported,https://qwen.ai/blog?id=qwen3.5-omni,2026-04-17,"Reported as 'MMBenchEN-DEV-v1.1' in Table 6 (Vision→Text), General VQA section — the English dev split, v1.1. Flag the split/version when comparing to other MMBench-EN entries that may use a different split."
qwen3-5-omni-plus,92.8,self-reported,https://arxiv.org/abs/2604.15804,2026-04-21,"Table 6 (Vision→Text), General VQA section, Qwen3.5-Omni-Plus column, cell S5.T6.3.13.4. Paper labels row 'MMBench_{EN-DEV-v1.1}' (English dev split, v1.1)."
qwen3-6-27b,92.3,self-reported,https://huggingface.co/Qwen/Qwen3.6-27B,,Listed as 'MMBenchEN-DEV-v1.1' on the official HF model card.
qwen3-6-35b-a3b,92.8,self-reported,https://huggingface.co/Qwen/Qwen3.6-35B-A3B,,Listed as 'MMBenchEN-DEV-v1.1' on the official HF model card.
