model_slug,score,source,source_url,evaluated_at,notes
claude-3-5-haiku,500,independent,https://artificialanalysis.ai/models/claude-3-5-haiku,,"GDPval-AA v2 (Artificial Analysis's own reproduction of OpenAI's GDPval, agentic real-world work tasks) score of 3%, from Artificial Analysis's live per-model Intelligence Breakdown chart. Mapped to the 'gdpval-aa' taxonomy slug (distinct from plain 'gdpval') since AA's benchmark is explicitly named 'GDPval-AA'. Not previously tracked for this model. [score corrected during round-6 completeness verify: proposed 3 -> 0] [SCALE FIX 2026-07-17: corrected from a normalized percentage (0%) to this taxonomy's actual raw 0-2000-point Elo scale. Converted via raw=0*20+500=500, but flagged as a floor approximation: AA's UI appears to clip negative-normalized scores to a displayed '0%', so the true raw Elo may be somewhat below 500 (confirmed by 3 sibling entries in this same fix batch whose documented pre-correction raw values were verified below 500 despite also displaying '0%'). Left at 500 pending a more precise reading.]"
claude-fable-5,1932,self-reported,https://www.anthropic.com/news/claude-fable-5-mythos-5,2026-06-09,"GDPval-AA (economically-valuable real-world professional work), from Anthropic's official benchmark-comparison chart on the announcement page (ahead of Opus 4.8's 1890, GPT-5.5's 1769, Gemini 3.1 Pro's 1314). Independently corroborated by a third-party benchmark explainer (Silicon Report) citing the identical 1932 figure."
claude-opus-4-5,1416,self-reported,https://www.vellum.ai/blog/claude-opus-4-6-benchmarks,2025-11-24,"GDPval-AA Elo, confirmed via direct fetch of the Opus 4.6-vs-4.5 comparison table."
claude-opus-4-6,1606,self-reported,https://www.vellum.ai/blog/claude-opus-4-6-benchmarks,2026-02-05,Also stated directly by Artificial Analysis on X: 'it reached an Elo of 1606 with adaptive thinking' — AA ran this benchmark in partnership with Anthropic ahead of launch.
claude-opus-4-7,1753,independent,https://artificialanalysis.ai/articles/opus-4-7-everything-you-need-to-know,2026-04-16,"Artificial Analysis's own GDPval-AA evaluation, run in partnership with Anthropic ahead of launch: 'Opus 4.7 scored 1,753 Elo, a 79 Elo lead over the next closest models' (confirmed via direct fetch)."
claude-opus-4-8,1890,self-reported,https://www.vellum.ai/blog/claude-opus-4-8-benchmarks-explained,,"PROPOSED NEW SLUG distinct from base 'gdpval': GDPval-AA v2 is Anthropic's harder/updated economically-valuable-work eval, scored on a 0-2000 scale, not the same test as the original GDPval and should not be filed under the base slug."
claude-sonnet-4-5,1276,self-reported,https://www.anthropic.com/claude-sonnet-4-6-system-card,2026-02-17,"GDPval-AA Elo, Sonnet 4.5 comparison figure, Table 2.1.A / Figure 2.8.A."
claude-sonnet-4-6,1633,self-reported,https://www.anthropic.com/claude-sonnet-4-6-system-card,2026-02-17,GDPval-AA Elo (Section 2.8 / Figure 2.8.A). A later 'GDPval-AA v2' re-measurement reported in the Claude Sonnet 5 System Card gives Sonnet 4.6 = 1381 under a rescaled/harder v2 methodology; this 1633 figure is Sonnet 4.6's own launch-era (v1) self-reported number.
claude-sonnet-5,1618,self-reported,https://www.vellum.ai/blog/claude-sonnet-5-benchmarks-explained,,"See proposed-slug note on the Opus 4.8 entry. Narrowly ahead of Opus 4.8 (1,615)."
deepseek-v3-0324,500,independent,https://artificialanalysis.ai/models/deepseek-v3-0324,,"GDPval-AA v2 (Artificial Analysis's Elo-based adaptation of OpenAI's GDPval agentic real-world-work benchmark), Intelligence Index v4.1, row labeled 'DeepSeek V3 0324' scored at the floor (0%), tied with Llama-4-Maverick and the Dec-2024 DeepSeek-V3. Reported as-is: a genuinely weak, unfavorable result on a hard agentic benchmark that postdates this model's design, included for honest coverage rather than omitted. [SCALE FIX 2026-07-17: corrected from a normalized percentage (0%) to this taxonomy's actual raw 0-2000-point Elo scale. Converted via raw=0*20+500=500, but flagged as a floor approximation: AA's UI appears to clip negative-normalized scores to a displayed '0%', so the true raw Elo may be somewhat below 500 (confirmed by 3 sibling entries in this same fix batch whose documented pre-correction raw values were verified below 500 despite also displaying '0%'). Left at 500 pending a more precise reading.]"
