model_slug,score,source,source_url,evaluated_at,notes
claude-fable-5,71,independent,https://sealedbench.com,2026-07-22,"SealedBench sealed capability index — composite of capability, token efficiency, speed and cost; rank 1/28 on the 2026-07-22 run (sealedbench.com). Listed as ""Claude Fable"" (Anthropic). Evaluated at the highest available thinking setting."
claude-haiku-4-5,39,independent,https://sealedbench.com,2026-07-22,"SealedBench sealed capability index — composite of capability, token efficiency, speed and cost; rank 24/28 on the 2026-07-22 run (sealedbench.com). Listed as ""Claude 4.5 Haiku"" (Anthropic). Evaluated at the highest available thinking setting. SealedBench 'Claude 4.5 Haiku' is this corpus's 'Claude Haiku 4.5'."
claude-opus-4-6,65,independent,https://sealedbench.com,2026-07-22,"SealedBench sealed capability index — composite of capability, token efficiency, speed and cost; rank 6/28 on the 2026-07-22 run (sealedbench.com). Listed as ""Claude Opus 4.6"" (Anthropic). Evaluated at the highest available thinking setting."
claude-opus-4-8,67,independent,https://sealedbench.com,2026-07-22,"SealedBench sealed capability index — composite of capability, token efficiency, speed and cost; rank 4/28 on the 2026-07-22 run (sealedbench.com). Listed as ""Claude Opus 4.8"" (Anthropic). Evaluated at the highest available thinking setting."
claude-sonnet-4-6,61,independent,https://sealedbench.com,2026-07-22,"SealedBench sealed capability index — composite of capability, token efficiency, speed and cost; rank 10/28 on the 2026-07-22 run (sealedbench.com). Listed as ""Claude Sonnet 4.6"" (Anthropic). Evaluated at the highest available thinking setting."
command-a-218b,34,independent,https://sealedbench.com,2026-07-22,"SealedBench sealed capability index — composite of capability, token efficiency, speed and cost; rank 27/28 on the 2026-07-22 run (sealedbench.com). Listed as ""Command A+"" (Cohere)."
deepseek-v4-flash-think-max,51,independent,https://sealedbench.com,2026-07-22,"SealedBench sealed capability index — composite of capability, token efficiency, speed and cost; rank 20/28 on the 2026-07-22 run (sealedbench.com). Listed as ""DeepSeek V4 Flash"" (DeepSeek). Evaluated at the highest available thinking setting. Attached to the Think Max effort sibling of DeepSeek-V4-Flash (highest available thinking)."
deepseek-v4-pro-think-max,53,independent,https://sealedbench.com,2026-07-22,"SealedBench sealed capability index — composite of capability, token efficiency, speed and cost; rank 17/28 on the 2026-07-22 run (sealedbench.com). Listed as ""DeepSeek V4 Pro"" (DeepSeek). Evaluated at the highest available thinking setting. Attached to the Think Max effort sibling of DeepSeek-V4-Pro (highest available thinking)."
gemini-3-1-pro,57,independent,https://sealedbench.com,2026-07-22,"SealedBench sealed capability index — composite of capability, token efficiency, speed and cost; rank 14/28 on the 2026-07-22 run (sealedbench.com). Listed as ""Gemini 3.1 Pro Preview"" (Google). Evaluated at the highest available thinking setting. Corpus 'Gemini 3.1 Pro' (status: preview) is the model SealedBench lists as 'Gemini 3.1 Pro Preview'."
gemini-3-5-flash-lite,47,independent,https://sealedbench.com,2026-07-22,"SealedBench sealed capability index — composite of capability, token efficiency, speed and cost; rank 22/28 on the 2026-07-22 run (sealedbench.com). Listed as ""Gemini 3.5 Flash-Lite"" (Google)."
