model_slug,score,source,source_url,evaluated_at,notes
claude-3-5-haiku,46,independent,https://artificialanalysis.ai/models/claude-3-5-haiku,,"MMMU-Pro (visual reasoning) score of 46%, from Artificial Analysis's live per-model Intelligence Breakdown chart. Despite the Oct-2024 launch model card stating the model 'will initially launch as a text-only model,' Anthropic subsequently enabled image input for claude-3-5-haiku-20241022 via the API, consistent with this corpus record's own capabilities.vision=true / modalities including 'vision'. Not previously tracked for this model."
claude-opus-4-5,70.6,self-reported,https://www.vellum.ai/blog/claude-opus-4-6-benchmarks,2025-11-24,No-tools configuration; with-tools scored 73.9% per the same source.
claude-opus-4-6,73.9,self-reported,https://www.vellum.ai/blog/claude-opus-4-6-benchmarks,2026-02-05,No-tools configuration; with-tools scored 77.3% per the same source.
claude-opus-4-7,85.55,independent,https://www.vals.ai/models/anthropic_claude-opus-4-7,,"Vals AI's independent eval of Claude Opus 4.7 reports this figure as MMMU-Pro, not plain MMMU (Vals AI's standard vision-benchmark suite uses the harder Pro variant, matching the same corpus convention already established for Claude Opus 4.5's own mmlu-pro row from the same independent source). [DATA FIX 2026-07-17: this row was previously mis-slugged 'mmmu' with a leftover merge-script note ('New slug: mmmu-pro...') that documented the intended correction but never actually applied it -- re-slugged to mmmu-pro and the note rewritten with a real citation rationale.]"
claude-sonnet-4-5,67.5,self-reported,https://www.anthropic.com/claude-sonnet-4-6-system-card,2026-02-17,"MMMU-Pro, reasoning-only (no tools) configuration, averaged over 5 runs (Figure 2.17.2.A). With an image-cropping tool, Sonnet 4.5 scored 68.9%."
claude-sonnet-4-6,83.58,independent,https://www.vals.ai/models/anthropic_claude-sonnet-4-6,,
claude-sonnet-4-6,74.5,self-reported,https://www.anthropic.com/claude-sonnet-4-6-system-card,2026-02-17,"MMMU-Pro, no-tools/adaptive-thinking-max-effort configuration (Section 2.17.2). With an image-cropping tool, Sonnet 4.6 scored 75.6%."
command-a-218b,63,self-reported,https://cohere.com/blog/command-a-plus,,
ernie-4-5-vl-424b-a47b,58.8,self-reported,https://ernie.baidu.com/blog/publication/ERNIE_Technical_Report.pdf,2025-06-29,"Table 8, thinking mode."
ernie-5-0-preview,65,independent,https://artificialanalysis.ai/models/ernie-5-0-thinking-preview,,"MMMU-Pro, from the same AA breakdown."
exaone-4-5,68.6,self-reported,https://arxiv.org/abs/2604.08644,2026-04-09,
gemini-3-1-flash-lite,76.8,self-reported,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-flash-lite/,2026-03-03,
gemini-3-1-pro,80.5,self-reported,https://deepmind.google/models/gemini/pro/,2026-02-19,
gemini-3-5-flash,83.6,self-reported,https://deepmind.google/models/gemini/flash/,2026-05-19,
gemini-3-flash,81.2,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Flash-Model-Card.pdf,2025-12-01,MMMU-Pro variant
