model_slug,score,source,source_url,evaluated_at,notes
amazon-nova-premier,48.8,self-reported,https://assets.amazon.science/e5/e6/ccc5378c42dca467d1abe1628ec9/amazon-nova-premier-technical-report-and-model-card.pdf,2025-04-30,"CharXiv reasoning subset (descriptive subset was 84.6, not used, to match the corpus convention of reporting the reasoning subset for this slug); GPT-4o-judged correctness (Table 1)."
claude-opus-4-6,69.1,self-reported,https://www.vellum.ai/blog/claude-opus-4-7-benchmarks-explained,2026-02-05,"No-tools configuration, cited as the prior-generation (Opus 4.6) comparison point in Opus 4.7's own launch benchmarks article; with-tools scored 84.7% per the same source."
claude-opus-4-7,82.1,self-reported,https://www.vellum.ai/blog/claude-opus-4-7-benchmarks-explained,,No-tools configuration; with-tools scored 91.0%.
claude-sonnet-4-5,67,self-reported,https://www.anthropic.com/claude-sonnet-4-6-system-card,2026-02-17,"CharXiv Reasoning, no-tools configuration (Figure 2.17.3.A). With an image-cropping tool, Sonnet 4.5 scored 69.9%."
claude-sonnet-4-6,72.4,self-reported,https://www.anthropic.com/claude-sonnet-4-6-system-card,2026-02-17,"CharXiv Reasoning, no-tools configuration (Section 2.17.3). With an image-cropping tool, Sonnet 4.6 scored 77.4%."
claude-sonnet-5,77,self-reported,https://www.anthropic.com/claude-sonnet-5-system-card,2026-06-30,"CharXiv Reasoning, no-tools configuration (System Card Section 8.10.5). With a Python image-cropping tool, Sonnet 5 scored 88.3%."
command-a-218b,52.7,self-reported,https://cohere.com/blog/command-a-plus,,reasoning subset
exaone-4-5,71.7,self-reported,https://arxiv.org/abs/2604.08644,2026-04-09,CharXiv (RQ / reasoning-questions subset)
gemini-3-1-flash-lite,73.2,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_3-1_flash-lite_model_evaluation.pdf,2026-03-01,"CharXiv Reasoning, information synthesis from complex charts."
gemini-3-5-flash,84.2,self-reported,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-5/,2026-05-19,CharXiv multimodal reasoning
gemini-3-flash,80.3,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Flash-Model-Card.pdf,2025-12-01,"CharXiv Reasoning, no tools, information synthesis from complex charts."
gemini-3-pro,81.4,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf,2025-11-01,"CharXiv Reasoning, no tools, information synthesis from complex charts."
