model_slug,score,source,source_url,evaluated_at,notes
aya-23-35b,6.76,independent,https://lk.instruct.kr/,2024-06-25,"LogicKor official leaderboard, model_id CohereForAI/aya-23-35B, default prompt strategy"
claude-3-5-sonnet,9.21,independent,https://lk.instruct.kr/,2024-06-27,"LogicKor official leaderboard, model_id anthropic/claude-3-5-sonnet-20240620, default prompt strategy"
claude-3-haiku,8.26,independent,https://lk.instruct.kr/,2024-06-27,"LogicKor official leaderboard, model_id anthropic/claude-3-haiku-20240307, default prompt strategy"
claude-3-opus,8.88,independent,https://lk.instruct.kr/,2024-06-27,"LogicKor official leaderboard, model_id anthropic/claude-3-opus-20240229, default prompt strategy"
claude-3-sonnet,8.36,independent,https://lk.instruct.kr/,2024-06-27,"LogicKor official leaderboard, model_id anthropic/claude-3-sonnet-20240229, default prompt strategy"
gemini-1-5-flash,8.77,independent,https://lk.instruct.kr/,2024-07-08,"LogicKor official leaderboard, model_id google/gemini-1.5-flash-001, default prompt strategy"
gemini-1-5-pro,9.29,independent,https://lk.instruct.kr/,2024-07-08,"LogicKor official leaderboard, model_id google/gemini-1.5-pro-001, default prompt strategy [score corrected during adversarial verify: proposed 9.3 -> 9.29, per verifier: Fetched https://lk.instruct.kr/ directly. Confirmed row exists for model_id google/gemini-1.5-pro-001, default prompt strategy (rank 5) — the notes' description matches exactly, and this is the correct variant (not conflated with cot-1-shot=8.83 or 1-shot=8.57). The claimed score of 9.3 is a rounding of the actual displayed value of 9.29. Recommend correcting score to 9.29 in corpus/models/google/gemini-1-5-pro.json.]"
glm-4-9b-chat,6.96,independent,https://lk.instruct.kr/,2024-06-25,"LogicKor official leaderboard, model_id THUDM/glm-4-9b-chat, default prompt strategy"
gpt-3-5-turbo,7.76,independent,https://lk.instruct.kr/,2024-06-26,"LogicKor official leaderboard, model_id openai/gpt-3.5-turbo-0125, default prompt strategy"
gpt-4,8.67,independent,https://lk.instruct.kr/,2024-06-26,"LogicKor official leaderboard, model_id openai/gpt-4-0613 (the GPT-4 API snapshot), default prompt strategy [score corrected during adversarial verify: proposed 8.68 -> 8.67, per verifier: Verified against https://lk.instruct.kr/ (LogicKor official leaderboard) directly via three independent fetches, all consistent. The model openai/gpt-4-0613 with ""default"" prompt strategy is real and present (rank ~32), but its total score is 8.67, not the claimed 8.68. Sub-category scores for that row: Reasoning 9.42, Mathematics 7.07, Writing 9.35, Coding 9.50, Comprehension 8.35, Grammar 8.35 — the unweighted mean of these six is 52.04/6 = 8.673, which rounds to 8.67, confirming 8.67 is the correct displayed total (not 8.68). No unit mismatch, no wrong-model mixup, and no benchmark-variant confusion: gpt-4-0613 is indeed distinct from the GPT-4 Turbo variants (Nov 2023 / Apr 2024 / Jan 2025) also on the leaderboard, whose default-prompt scores are 9.17, 8.66, and 9.13 respectively — none of which is being conflated here. Model/benchmark identity and prompt-strategy match the claim; only the score digit is off by 0.01, likely a transcription slip. Recommend correcting corpus/models/openai/gpt-4.json's logickor entry score from 8.68 to 8.67.]"
gpt-4-turbo,9.1,independent,https://lk.instruct.kr/,2024-06-26,"LogicKor official leaderboard, model_id openai/gpt-4-1106-preview (matches catalog's 2023-11-06 GPT-4 Turbo release), default prompt strategy [score corrected during adversarial verify: proposed 9.18 -> 9.1, per verifier: Fetched lk.instruct.kr directly and parsed the embedded logickor_v2_scores dataset (245 records). Exactly two records exist for model_id ""openai/gpt-4-1106-preview"": (1) prompt_strategy ""1-shot"", avg=9.095238095238095 (≈9.10); (2) prompt_strategy ""cot-1-shot"", avg=8.976190476190476 (≈8.98). There is NO ""default"" prompt-strategy record for this model_id at all — that part of the claimed provenance is fabricated. The claimed score 9.18 does not match either real record. Best real match is the 1-shot avg, ≈9.10 (or 9.09 if truncated rather than rounded to 2dp). A separate, different model_id (""openai/gpt-4-0125-preview"", default strategy, avg=9.13) exists in the dataset and could be a source of confusion but is a different snapshot, not GPT-4 Turbo (1106) per the catalog's release date. Recommend updating the result to score=9.10, source note ""1-shot prompt strategy"" (or 8.98 for cot-1-shot if that variant is preferred), and removing the incorrect ""default prompt strategy"" characterization.]"
gpt-4o,9.33,independent,https://lk.instruct.kr/,2024-06-26,"LogicKor official leaderboard, model_id openai/gpt-4o-2024-05-13, default prompt strategy, avg of single/multi-turn across 6 categories"
lg-exaone-3-0-7-8b-instruct,8.62,self-reported,https://huggingface.co/LGAI-EXAONE/EXAONE-3.0-7.8B-Instruct,2024-08-01,Korean LogicKor
lg-exaone-3-5-32b-instruct,9.06,self-reported,https://github.com/LG-AI-EXAONE/EXAONE-3.5,2024-12-01,Korean LogicKor
llama-3-1-405b,8.79,independent,https://lk.instruct.kr/,2024-07-31,"LogicKor official leaderboard, model_id meta-llama/Meta-Llama-3.1-405B-Instruct-FP8, default prompt strategy [score corrected during adversarial verify: proposed 8.8 -> 8.79, per verifier: Fetched https://lk.instruct.kr/ directly (two independent fetches, consistent results). The model meta-llama/Meta-Llama-3.1-405B-Instruct-FP8 appears three times on the LogicKor leaderboard with different prompt strategies: - 1-shot: 8.84 - default: 8.79 - cot-1-shot: 8.45 The claim specifies ""default prompt strategy"" and model_id meta-llama/Meta-Llama-3.1-405B-Instruct-FP8, both of which correctly match a real leaderboard row — but that row's score is 8.79, not 8.8. This is a small (0.01) discrepancy that looks like an unrounded/rounded transcription slip rather than a wrong-model or wrong-variant mixup (the 1-shot variant score of 8.84 is further off and not the source of the ""8.8"" figure; it's most likely 8.79 was rounded to 8.8 losing precision). Note: LogicKor is archived (as of Oct 2024) but the leaderboard data itself remains accessible and unchanged at the source URL, so the source is valid and reachable. Recommend correcting the stored score to 8.79 to match the source exactly.]"
llama-3-1-70b,7.78,independent,https://lk.instruct.kr/,2024-07-31,"LogicKor official leaderboard, model_id meta-llama/Meta-Llama-3.1-70B-Instruct-FP8, default prompt strategy [score corrected during adversarial verify: proposed 7.79 -> 7.78, per verifier: Fetched https://lk.instruct.kr/ twice independently. The row for meta-llama/Meta-Llama-3.1-70B-Instruct-FP8, default prompt strategy, shows a total score of 7.78, not 7.79 as claimed. Model ID and prompt-strategy variant match the claim correctly (no wrong-model or wrong-benchmark-variant mixup — the 1-shot score is 7.71 and cot-1-shot is 7.66, clearly distinct rows). This appears to be a minor transcription error (7.79 vs 7.78). Corrected score: 7.78.]"
