model_slug,score,source,source_url,evaluated_at,notes
claude-fable-5,80.3,self-reported,https://www.vellum.ai/blog/claude-fable-5-and-mythos-5-benchmarks-explained,,Ahead of Opus 4.8 (69.2%) and GPT-5.5 (58.6%).
claude-opus-4-5-high,52,self-reported,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47.pdf,2025-11-24,"SWE-bench Pro (Scale AI's harder, 1,865-problem variant), no-thinking configuration (52.0%; 51.60% with 64k thinking) — system card Table 2.4.A."
claude-opus-4-7,64.3,self-reported,https://www.vellum.ai/blog/claude-opus-4-7-benchmarks-explained,,Up from 53.4% on Opus 4.6 per the same source.
claude-opus-4-8,69.2,self-reported,https://www.vellum.ai/blog/claude-opus-4-8-benchmarks-explained,,
claude-sonnet-4-6,58.1,self-reported,https://www.vellum.ai/blog/claude-sonnet-5-benchmarks-explained,,"From the later Sonnet 5 launch comparison table, re-measured alongside Sonnet 5 and Opus 4.8."
claude-sonnet-5,63.2,self-reported,https://www.vellum.ai/blog/claude-sonnet-5-benchmarks-explained,,"5 points ahead of Sonnet 4.6 (58.1%), 6 points behind Opus 4.8 (69.2%)."
deepseek-v4-flash-non-think,49.1,self-reported,https://arxiv.org/abs/2606.19348,,"SWE-Pro (Resolved), Non-Think mode, Table 7 of the DeepSeek-V4 technical report"
deepseek-v4-flash-think-high,52.3,self-reported,https://macaron.im/blog/deepseek-v4-benchmarks,,Think High mode
deepseek-v4-flash-think-max,52.6,self-reported,https://macaron.im/blog/deepseek-v4-benchmarks,,Max mode
deepseek-v4-pro-non-think,52.1,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,2026-04-24,"SWE Pro (Resolved), Non-Think mode. Cross-verified identical value in DeepSeek-V4 tech report Table 7 (arXiv:2606.19348)."
deepseek-v4-pro-think-high,54.4,self-reported,https://arxiv.org/abs/2606.19348,,Think-High mode
deepseek-v4-pro-think-max,55.4,self-reported,https://macaron.im/blog/deepseek-v4-benchmarks,,Pro-Max mode
gemini-3-1-pro,54.2,self-reported,https://deepmind.google/models/gemini/pro/,2026-02-19,"SWE-Bench Pro (Public), single attempt."
