model_slug,score,source,source_url,evaluated_at,notes
ai21-jamba,73.5,self-reported,https://arxiv.org/html/2403.19887v1,,"ARC-Easy (ARC-E, 0-shot) score from Table 2 of the original Jamba technical report -- not present on the HF model card, which only lists ARC-Challenge."
apple-dclm-baseline-7b,82.2,self-reported,https://huggingface.co/apple/DCLM-Baseline-7B,,
apple-openelm-270m-3b,59.89,self-reported,https://huggingface.co/apple/OpenELM,2024-04-01,"OpenELM-3B (pretrained), ARC-Easy, zero-shot — same 'Zero-Shot Results' table on the official HF model card as the existing ARC-Challenge/HellaSwag/WinoGrande rows."
btlm-3b-8k,66.9,self-reported,https://arxiv.org/abs/2309.11568,,"0-shot, Table 4"
cerebras-gpt-13b,71.4,self-reported,https://huggingface.co/cerebras/Cerebras-GPT-13B,,"0-shot, from the same HF model card results table."
comma-v0-1-2t,71.8,self-reported,https://huggingface.co/common-pile/comma-v0.1-2t,,
deepseek-llm-67b,81.6,self-reported,https://ar5iv.labs.arxiv.org/html/2401.02954,,"DeepSeek LLM 67B Chat, paper Table 6"
deepseekmoe-16b,68.1,self-reported,https://ar5iv.labs.arxiv.org/html/2401.06066,2024-01-11,"Table 3, DeepSeekMoE 16B column, 0-shot accuracy."
falcon-2-11b,77.78,independent,https://huggingface.co/blog/falcon2-11b,2024-05-24,"0-shot, from the blog's separate 'Zero shot performance' table"
falcon-40b,81.86,independent,https://huggingface.co/blog/falcon2-11b,2024-05-24,"0-shot, from the blog's separate zero-shot performance table"
falcon-7b,73.6,self-reported,https://arxiv.org/abs/2311.16867,,From Table 21 of the Falcon tech report.
galactica-120b,83.8,self-reported,https://ar5iv.labs.arxiv.org/html/2211.09085,2022-11-01,"0-shot, in-domain, Table 10 'Question Answering Results', GAL=120B column."
gemma-2-27b,88.6,self-reported,https://huggingface.co/google/gemma-2-27b,2024-06-01,"ARC-e, 0-shot"
gemma-2-9b,88,self-reported,https://huggingface.co/google/gemma-2-9b,2024-06-01,"ARC-e, 0-shot"
gemma-2b,73.2,self-reported,https://huggingface.co/google/gemma-2b,,ARC-e
gemma-7b,81.5,self-reported,https://storage.googleapis.com/deepmind-media/gemma/gemma-report.pdf,2024-02-21,"Table 6, ARC-e, 0-shot."
gpt-3-175b,70.1,self-reported,https://arxiv.org/abs/2005.14165,,Few-shot (Table 3.6)
gpt-4o-mini,96.8,independent,https://arxiv.org/abs/2409.12183,2024-09-18,"Same paper/table as the BBH row above (Sprague et al. 2025, Appendix Table 7): GPT-4o Mini scores 96.8% zero-shot CoT accuracy on ARC-Easy (94.6% without CoT)."
gpt-j-6b,67,self-reported,https://arxiv.org/abs/2204.06745,2022-04-14,"Zero-shot, Table 2 of the GPT-NeoX-20B paper (Black et al. 2022), which EleutherAI ran as a head-to-head comparison across GPT-J-6B, GPT-NeoX-20B, GPT-3 and FairSeq models using the LM Eval Harness (acc=0.670)."
gpt-neox-20b,72.3,self-reported,https://arxiv.org/abs/2204.06745,2022-04-14,"Zero-shot, Table 2 of the GPT-NeoX-20B paper (acc=0.723)."
h2o-danube-1-8b,67.51,self-reported,https://huggingface.co/h2oai/h2o-danube-1.8b-chat,,"0-shot ARC-Easy for h2o-danube-1.8b-chat, from the HF model card's benchmark table; independently cross-confirmed in the technical report (arXiv:2401.16818, Table 4, chat-model commonsense reasoning results)."
h2o-danube3-4b,83.84,self-reported,https://arxiv.org/abs/2407.09276,,"ARC-Easy, 25-shot, from H2O-Danube3 technical report Table 2 (also verified via arxiv.org/html/2407.09276)"
hermes-3-405b,86.24,self-reported,https://arxiv.org/pdf/2408.11857,,"0-shot, Table 5 'Final downstream task evaluations'."
inflection-1,89.6,self-reported,https://inflection.ai/inflection-2,2023-11-22,"ARC-Easy, 1-shot, Inflection-1 column of Table 2 on Inflection AI's official Inflection-2 launch page. Same SVG table as the piqa entry (framerusercontent.com/images/WcZyvwpmgQWfv7sUpfkL0mY3N8.svg), confirmed by direct browser rendering."
inflection-2,91.3,self-reported,https://inflection.ai/inflection-2,2023-11-22,"ARC-Easy, 1-shot, Inflection-2 column of Table 2 on Inflection AI's official Inflection-2 launch page. Same SVG table as the piqa entry (framerusercontent.com/images/WcZyvwpmgQWfv7sUpfkL0mY3N8.svg), confirmed by direct browser rendering."
krutrim-2-12b,82,self-reported,https://huggingface.co/krutrim-ai-labs/Krutrim-2-instruct,,"ARC_Easy, 0-shot accuracy"
lamda,76.4,self-reported,https://arxiv.org/abs/2204.02311,2022-04-05,"LaMDA 137B, 0-shot, ARC-Easy. Appears in the PaLM technical report's Table 4 as the 'prior SOTA' baseline (footnote 'e' = LaMDA, originally reported via Wei et al. 2022a's Emergent Abilities survey). Verbatim-confirmed via ar5iv full-text render of arxiv 2204.02311: 'ARC-e 76.4 e 76.6 ...'. A 10-shot LaMDA figure (80.9) also appears in the same row but was not added to avoid a duplicate under the same slug."
llama-13b,74.8,self-reported,https://ar5iv.labs.arxiv.org/html/2302.13971,2023-02-01,"0-shot, Table 3"
llama-2-13b,77.3,self-reported,https://ar5iv.labs.arxiv.org/html/2307.09288,2023-07-18,"0-shot, Table 20 'Performance on standard benchmarks' (ARC-e column) of the official Llama 2 paper."
llama-2-70b,80.2,self-reported,https://arxiv.org/abs/2307.09288,2023-07-18,"0-shot, Table 20 (ARC-e column)."
llama-2-7b,75.2,self-reported,https://arxiv.org/abs/2307.09288,2023-07-18,"0-shot, Table 20 (ARC-e column)."
llama-33b,80,self-reported,https://ar5iv.labs.arxiv.org/html/2302.13971,2023-02-01,"0-shot, Table 3 (Common Sense Reasoning)."
llama-65b,78.9,self-reported,https://ar5iv.labs.arxiv.org/html/2302.13971,2023-02-01,"0-shot, Common Sense Reasoning table"
llama-7b,72.8,self-reported,https://ar5iv.labs.arxiv.org/html/2302.13971,2023-02-01,"0-shot, Common Sense Reasoning table"
luminous-supreme-70b,76.9,self-reported,https://aleph-alpha.com/en/blog/luminous-performance-benchmarks/,2023-02-20,"Core 16-task suite, 0-shot."
minicpm-2b,85.44,self-reported,https://github.com/OpenBMB/MiniCPM/blob/main/README-en.md,2024-02-01,MiniCPM GitHub README benchmark table (ARC-e)
mistral-7b,80,self-reported,https://arxiv.org/abs/2310.06825,,"Table 2 of the Mistral 7B paper (Arc-e column), Pretrained row."
mixtral-8x7b,83.1,self-reported,https://ar5iv.labs.arxiv.org/html/2401.04088,2024-01-01,Table 2 of the paper; listed as ARC-Easy.
nemotron-3-8b,72.9,self-reported,https://huggingface.co/nvidia/nemotron-3-8b-base-4k,,"0-shot. From the evaluation table on the HF model card, confirmed via two independent literal-transcription fetches of the page."
nemotron-4-15b,80.9,self-reported,https://arxiv.org/abs/2402.16819,,"Table 3, zero-shot."
