model_slug,score,source,source_url,evaluated_at,notes
apple-dclm-baseline-7b,52.7,self-reported,https://huggingface.co/apple/DCLM-Baseline-7B,,'TriviaQA' row (0.5270) on the model's official HF eval table.
btlm-3b-8k,34.9,self-reported,https://arxiv.org/abs/2309.11568,,"0-shot, Table 4"
chinchilla,73.2,self-reported,https://arxiv.org/abs/2203.15556,,"TriviaQA unfiltered, 5-shot"
claude-1,86.7,self-reported,https://www-cdn.anthropic.com/files/4zrzovbb/website/bd2a28d2535bfb0494cc8e2a3bf135d2e7523226.pdf,,"Same source/table: 'Claude 1.3' row, TriviaQA 5-shot = 86.7%. Same Claude-1.3-checkpoint caveat applies."
claude-2,87.5,self-reported,https://www-cdn.anthropic.com/5c49cc247484cecf107c699baf29250302e5da70/ModelCardClaudev2_with_appendix_v1.pdf,2023-07-11,"5-shot, same Section 4.3 table (Claude 2 column)."
deepseek-llm-67b,81.5,self-reported,https://ar5iv.labs.arxiv.org/html/2401.02954,,"DeepSeek LLM 67B Chat, paper Table 6; also matches the official GitHub README table"
deepseekmoe-16b,64.8,self-reported,https://ar5iv.labs.arxiv.org/html/2401.06066,2024-01-11,"Table 3, TriviaQA EM 5-shot, DeepSeekMoE 16B column."
gemma-2-27b,83.7,self-reported,https://huggingface.co/google/gemma-2-27b,2024-06-01,5-shot
gemma-2-9b,76.6,self-reported,https://huggingface.co/google/gemma-2-9b,2024-06-01,5-shot
gemma-2b,53.2,self-reported,https://huggingface.co/google/gemma-2b,,5-shot
gemma-7b,63.4,self-reported,https://storage.googleapis.com/deepmind-media/gemma/gemma-report.pdf,2024-02-21,"Table 6, 5-shot."
gopher,63.6,self-reported,https://arxiv.org/abs/2203.15556,,"TriviaQA unfiltered, 5-shot"
gpt-3-175b,71.2,self-reported,https://arxiv.org/abs/2005.14165,,"few-shot, closed-book"
gpt-j-6b,17,self-reported,https://arxiv.org/abs/2204.06745,2022-04-14,"Zero-shot, Table 2 of the GPT-NeoX-20B paper (acc=0.170); low score is expected/plausible for a 6B non-instruction-tuned 2021 base model on closed-book trivia."
gpt-neox-20b,25.9,self-reported,https://arxiv.org/abs/2204.06745,2022-04-14,"Zero-shot, Table 2 of the GPT-NeoX-20B paper (acc=0.259)."
h2o-danube-1-8b,36.29,self-reported,https://huggingface.co/h2oai/h2o-danube-1.8b-chat,,
hunyuan-large-a52b,89.2,self-reported,https://huggingface.co/tencent/Tencent-Hunyuan-Large,,Pretrain/base model table.
inflection-1,70.3,self-reported,https://inflection.ai/assets/Inflection-1.pdf,2023-06-23,"0-shot, unfiltered-web dev split ('Split A', Table 3); this is the figure behind the public blog's claim of a 2.1-point edge over LLaMA-65B (68.2). Three other TriviaQA/split-and-shot variants are also reported (up to 85.0 on the Wikipedia split, 1-shot) but this one was chosen as the standard 0-shot comparison point."
