model_slug,score,source,source_url,evaluated_at,notes
gpt-5-5-pro,84,curated,,,
gpt-5-5,81.5,curated,,,
gpt-5,79,curated,,,
o3,70.4,curated,,,
gpt-4o,48.8,curated,,,
gpt-oss-120b,61.7,curated,,,
gpt-oss-20b,47.2,curated,,,
claude-opus-4-8,87.1,curated,,,
claude-opus-4-7,85.9,curated,,,
claude-sonnet-4-6,84,curated,,,
claude-sonnet-4,76.5,curated,,,
claude-3-5-sonnet,62.6,curated,,,
claude-haiku-4-5,78.2,curated,,,
gemini-3-1-pro,82.7,curated,,,
gemini-3-pro,80.1,curated,,,
gemini-2-5-pro,71.9,curated,,,
gemini-2-5-flash,63,curated,,,
gemma-3-27b,31,curated,,,
gemma-3-12b,24.5,curated,,,
llama-4-maverick,52,curated,,,
llama-4-scout,44.1,curated,,,
llama-3-3-70b,46.8,curated,,,
llama-3-1-405b,45.2,curated,,,
llama-3-1-8b,19.4,curated,,,
deepseek-v4-1,78.8,curated,,,
deepseek-v3-2,72,curated,,,
deepseek-r1,41,curated,,,
qwen3-7-max,76.3,curated,,,
qwen3-235b,58.9,curated,,,
qwen3-32b,49.7,curated,,,
qwen3-8b,32.8,curated,,,
qwq-32b,38.4,curated,,,
glm-5-2,79.4,curated,,,
glm-5,75.6,curated,,,
glm-4-7,73.8,curated,,,
kimi-k2-5,81,curated,,,
kimi-k2,70.6,curated,,,
mistral-large-3,71.2,curated,,,
mistral-small-3-2,35.9,curated,,,
magistral-medium,55,curated,,,
grok-4-2,77.9,curated,,,
grok-4,68.4,curated,,,
grok-4-fast,62.1,curated,,,
phi-4,20.1,curated,,,
phi-4-reasoning,22.6,curated,,,
minimax-m2-5,76.1,curated,,,
step-3-5-flash,60.8,curated,,,
nemotron-super-49b,54.3,curated,,,
command-a,51.4,curated,,,
hermes-4-405b,44.9,curated,,,
olmo-3-32b,28.7,curated,,,
granite-4-h,40.2,curated,,,
smollm3-3b,8.9,curated,,,
llama-5,74.5,curated,,,
deepseek-v4-5,80.2,curated,,,
