model_slug,score,source,source_url,evaluated_at,notes
codeqwen1-5-7b,45.7,self-reported,https://qwenlm.github.io/blog/codeqwen1.5/,2024-04-16,"Base model, 0-shot."
ernie-4-5-300b-a47b,92.1,self-reported,https://ernie.baidu.com/blog/publication/ERNIE_Technical_Report.pdf,2025-06-29,"HumanEval+, Table 5."
falcon-h1-34b,81.71,self-reported,https://huggingface.co/tiiuae/Falcon-H1-34B-Instruct,,HumanEval+
granite-3-2-8b-instruct,85.72,self-reported,https://huggingface.co/ibm-granite/granite-3.2-8b-instruct,,Listed as 'HumanEval+' immediately next to the existing HumanEval 89.35 column in the same table.
granite-3-3-8b-instruct,86.09,self-reported,https://huggingface.co/ibm-granite/granite-3.3-8b-instruct,,Listed as 'HumanEval+' immediately next to the existing HumanEval 89.73 column in the same table.
granite-4-0-h-small,83,self-reported,https://huggingface.co/ibm-granite/granite-4.0-h-small,,"HumanEval+, pass@1"
granite-4-1-8b-instruct,79.88,self-reported,https://huggingface.co/ibm-granite/granite-4.1-8b,,pass@1
minicpm3-4b,68.3,self-reported,https://huggingface.co/openbmb/MiniCPM3-4B,2024-09-01,HumanEval+
mistral-large-2-24-07,87,self-reported,https://huggingface.co/mistralai/Mistral-Large-Instruct-2407,2024-07-24,HF model card 'Code & Reasoning Benchmarks' table (Human Eval Plus row).
mistral-small-3-2-24b,92.9,self-reported,https://huggingface.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506,,"HumanEval Plus, pass@5"
nemotron-h-56b,54.27,self-reported,https://huggingface.co/nvidia/Nemotron-H-56B-Base-8K,,"HumanEval+, 0-shot"
olmo-3-7b,77.2,self-reported,https://huggingface.co/allenai/Olmo-3-7B-Instruct,,HumanEvalPlus
olmo-3-think-32b,91.4,self-reported,https://huggingface.co/allenai/Olmo-3-32B-Think,,HumanEvalPlus; Qwen 3 32B 91.2
phi-4-14b,82.8,self-reported,https://arxiv.org/abs/2412.08905,,"Table 1, row 'HumanEval+', confirmed via direct PDF page read of the official Microsoft Research PDF."
phi-4-mini-3-8b,68.3,self-reported,https://arxiv.org/abs/2503.01743,,"Table 8, HumanEval+ (0-shot)."
phi-4-mini-instruct,68.3,self-reported,https://arxiv.org/abs/2503.01743,,"Table 8, HumanEval+ (0-shot)."
phi-4-reasoning,92.9,self-reported,https://huggingface.co/microsoft/Phi-4-reasoning,2025-04-30,HumanEvalPlus variant
phi-4-reasoning-14b,92.9,self-reported,https://huggingface.co/microsoft/Phi-4-reasoning,,HumanEvalPlus
plamo-100b,22,self-reported,https://arxiv.org/pdf/2509.04897,,"HumanEval+ (EvalPlus), 0-shot pass@1, from the same PLaMo 2 Technical Report (Table 2), Preferred Networks' own baseline row for pfnet/plamo-100b (0.220 = 22.0%). The report also lists 'JHumanEval' (a Japanese-translated HumanEval variant, 0.268) for the same row -- that one was NOT mapped to any slug since it is a different-language benchmark from the standard English HumanEval/HumanEval+ family and no matching taxonomy slug exists for it."
qwen2-5-14b,51.2,self-reported,https://qwenlm.github.io/blog/qwen2.5-llm/,2024-09-19,"Base model, 0-shot (EvalPlus-augmented HumanEval)."
qwen2-5-32b,52.4,self-reported,https://qwenlm.github.io/blog/qwen2.5-llm/,2024-09-19,"Base model, 0-shot (EvalPlus-augmented HumanEval)."
qwen2-5-72b,51.2,self-reported,https://qwenlm.github.io/blog/qwen2.5-llm/,2024-09-19,Base model
qwen2-5-7b,50.6,self-reported,https://qwenlm.github.io/blog/qwen2.5-llm/,2024-09-19,Base model
qwen2-5-coder-32b,60.4,self-reported,https://arxiv.org/abs/2409.12186,2024-11-12,"Base model, Table 5"
skywork-o1-open-llama-3-1-8b,78.7,self-reported,https://huggingface.co/Skywork/Skywork-o1-Open-Llama-3.1-8B,2024-11-26,"HumanEval+ column, official HF model card table (row 'Skywork-o1-Open-8B'). This is the base model's best score on this metric (QStar variant scored lower, 77.4)."
starcoder2-15b,37.8,self-reported,https://huggingface.co/bigcode/starcoder2-15b,,"HumanEval+ pass@1 = 37.8, taken verbatim from the model-index metadata block in the official HF model card README (fetched raw)."
starcoder2-3b,27.4,self-reported,https://huggingface.co/bigcode/starcoder2-3b,,"HumanEval+ pass@1 = 27.4, taken verbatim from the model-index metadata block in the official HF model card README (fetched raw)."
t-lu-3-405b,92.9,self-reported,https://huggingface.co/allenai/Llama-3.1-Tulu-3-405B,,"HumanEval+ (pass@10) for the final Tülu 3 405B model, from the same official 'Performance' table (verified via raw README.md)."
t-lu-3-70b,88,self-reported,https://huggingface.co/allenai/Llama-3.1-Tulu-3-70B,,"HumanEval+ (pass@10) for the final Tülu 3 70B model, same table."
wizardcoder-python-34b-v1-0,64.6,self-reported,https://huggingface.co/WizardLMTeam/WizardCoder-Python-34B-V1.0/blob/main/README.md,,"HumanEval+ pass@1, from the same comparison table on the official HF README that already sources the existing HumanEval/MBPP rows; the existing verificationNotes had already spotted this number but it was never added as its own row."
