model_slug,score,source,source_url,evaluated_at,notes
deepseek-r1-0528,1930,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1-0528,2025-05-28,"Codeforces-Div1 rating; DeepSeek changed Codeforces methodology between R1 and R1-0528 (the original R1 card reports a differently-defined 'Codeforces (Rating): 2029' overall metric, not Div1-specific, so these are not directly comparable across the two model cards)"
deepseek-r1-671b,2029,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1,2025-01-20,"Codeforces rating, ~96.3rd percentile"
deepseek-r1-distill-llama-70b,1633,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-01-20,Codeforces rating
deepseek-r1-distill-qwen-32b,1691,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,2025-01-20,Codeforces rating
deepseek-r1-zero,1444,self-reported,https://arxiv.org/html/2501.12948v1,2025-01-20,Codeforces rating
deepseek-v3-1-thinking,2091,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3.1,,"Codeforces-Div1 Rating, Thinking mode, from official HF model card benchmark table"
deepseek-v3-2-exp,2121,self-reported,https://github.com/deepseek-ai/DeepSeek-V3.2-Exp,,Codeforces rating
deepseek-v4-flash-think-high,2816,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,,"Codeforces rating, Think High mode"
deepseek-v4-flash-think-max,3052,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,,"Codeforces rating, Think Max mode"
deepseek-v4-pro-think-high,2919,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,,"Codeforces rating, Think High mode"
deepseek-v4-pro-think-max,3206,self-reported,https://redreamality.com/blog/deepseek-v4-benchmarks-guide/,,"CodeElo/Codeforces rating, Pro-Max mode"
gemma-4,2150,self-reported,https://ai.google.dev/gemma/docs/core/model_card_4,2026-04-02,"Codeforces Elo, 31B dense (26B A4B sibling scores 1718 on the same table, already in corpus)."
gemma-4-26b-a4b,1718,self-reported,https://huggingface.co/google/gemma-4-26B-A4B-it,2026-04-02,"Codeforces Elo, 26B A4B (dense 31B scores 2150 on the same table)."
gpt-4,392,self-reported,https://arxiv.org/abs/2303.08774,2023-03-15,"Codeforces Rating from Table 1 ('GPT performance on academic and professional exams') of the GPT-4 Technical Report, for the RLHF/launch GPT-4 model, described as 'below 5th percentile' among competitive programmers. Estimated by having the model attempt problems from 10 recent Codeforces contests (10 attempts/problem) and running repeated Elo-adjustment simulations to convergence (100 simulations x 10 contests), per Appendix A. GPT-3.5 scored 260 on the same table for comparison. This is a distinct evaluation protocol from Table 2's few-shot academic benchmarks (base, pre-RLHF model) already in the corpus, but is the same kind of Codeforces-Elo-rating metric used for other models' 'codeforces' entries in this corpus."
gpt-oss-120b-high,2463,self-reported,https://arxiv.org/abs/2508.10925,2025-08-05,"Codeforces Elo, no terminal tool, high reasoning effort (2622 Elo with tool access, per the same table -- chose the no-tools figure for consistency with the model's other no-tools rows). Read directly from Table 3 of the official model card."
gpt-oss-120b-low,1595,self-reported,https://arxiv.org/abs/2508.10925,2025-08-05,"Codeforces Elo, no terminal tool, low reasoning effort (1653 Elo with tool access, per the same table -- chose the no-tools figure for consistency with the model's other no-tools rows). Read directly from Table 3 of the official model card."
gpt-oss-120b-medium,2205,self-reported,https://arxiv.org/abs/2508.10925,2025-08-05,"Codeforces Elo, no tools, medium reasoning effort"
gpt-oss-20b-high,2230,self-reported,https://arxiv.org/abs/2508.10925,2025-08-05,"Codeforces Elo, no tools, high reasoning effort"
gpt-oss-20b-low,1366,self-reported,https://arxiv.org/abs/2508.10925,2025-08-05,"Codeforces Elo, no tools, low reasoning effort"
gpt-oss-20b-medium,1998,self-reported,https://arxiv.org/abs/2508.10925,2025-08-05,"Codeforces Elo, no tools, medium reasoning effort"
openai-o1,1891,self-reported,https://www.datacamp.com/blog/o3-openai,2024-12-01,"Codeforces Elo [relabeled self-reported: aggregator/press relay of a vendor figure, not an independent re-measurement]"
openai-o1-mini,1650,independent,https://www.analyticsvidhya.com/blog/2024/09/o1-preview-vs-o1-mini/,2024-09-01,"Codeforces Elo, ~86th percentile"
