model_slug,score,source,source_url,evaluated_at,notes
gpt-5-5-pro,80.9,curated,,,
gpt-5-5,78.2,curated,,,
gpt-5,74.9,curated,,,
o3,69.1,curated,,,
gpt-4o,33.2,curated,,,
gpt-oss-120b,51.2,curated,,,
gpt-oss-20b,37.4,curated,,,
claude-opus-4-8,82.4,curated,,,
claude-opus-4-7,81,curated,,,
claude-sonnet-4-6,79.4,curated,,,
claude-sonnet-4,72.7,curated,,,
claude-3-5-sonnet,49,curated,,,
claude-haiku-4-5,73.3,curated,,,
gemini-3-1-pro,78.8,curated,,,
gemini-3-pro,76.2,curated,,,
gemini-2-5-pro,63.8,curated,,,
gemini-2-5-flash,48.9,curated,,,
gemma-3-27b,10.2,curated,,,
gemma-3-12b,6.1,curated,,,
llama-4-maverick,34.2,curated,,,
llama-4-scout,26.1,curated,,,
llama-3-3-70b,22,curated,,,
llama-3-1-405b,24.5,curated,,,
llama-3-1-8b,3,curated,,,
deepseek-v4-1,77.5,curated,,,
deepseek-v3-2,70.2,curated,,,
deepseek-r1,49.2,curated,,,
qwen3-7-max,74,curated,,,
qwen3-235b,41,curated,,,
qwen3-32b,34.4,curated,,,
qwen3-8b,12.1,curated,,,
qwq-32b,24,curated,,,
glm-5-2,79,curated,,,
glm-5,77.8,curated,,,
glm-4-7,73.8,curated,,,
kimi-k2-5,76.8,curated,,,
kimi-k2,65.8,curated,,,
mistral-large-3,68.4,curated,,,
mistral-small-3-2,15.8,curated,,,
magistral-medium,41.3,curated,,,
grok-4-2,74.6,curated,,,
grok-4,66,curated,,,
grok-4-fast,52.1,curated,,,
phi-4,8.7,curated,,,
phi-4-reasoning,10.2,curated,,,
minimax-m2-5,72.5,curated,,,
step-3-5-flash,58.3,curated,,,
nemotron-super-49b,39,curated,,,
command-a,22.9,curated,,,
hermes-4-405b,30.4,curated,,,
olmo-3-32b,16.9,curated,,,
granite-4-h,11.8,curated,,,
smollm3-3b,0.8,curated,,,
llama-5,71.9,curated,,,
deepseek-v4-5,78.4,curated,,,
