model_slug,score,source,source_url,evaluated_at,notes
claude-opus-4-5,37.6,independent,https://arcprize.org/blog/arc-prize-2025-results-analysis,2025-11-24,"ARC Prize's own verified run: 'the top verified commercial model, Opus 4.5 (Thinking, 64k), scores 37.6% for $2.20/task' — confirmed via direct fetch."
claude-opus-4-5-high,37.6,self-reported,https://www.anthropic.com/news/claude-opus-4-5,2025-11-24,"ARC-AGI-2 (Verified), 64k thinking budget; confirmed on both the official launch-page comparison chart ('Novel problem solving / ARC-AGI-2 (Verified)': 37.6%) and system card Section 2.10/Figure 2.10.B."
claude-opus-4-6,68.8,self-reported,https://www.vellum.ai/blog/claude-opus-4-6-benchmarks,2026-02-05,Confirmed via direct fetch; also corroborated by ARC Prize's own coverage citing 68.8% as new SOTA at launch.
claude-opus-4-7,75.8,independent,https://x.com/arcprize/status/2044834615417053305,2026-04-16,"ARC Prize's own verified ARC-AGI-2 Semi-Private run, Max effort ($7.43/task): 'Max: 75.8%, High: 68.3%, Med: 67.5%, Low: 62.0%'."
claude-sonnet-4-5,13.6,self-reported,https://www.anthropic.com/claude-sonnet-4-6-system-card,2026-02-17,"ARC-AGI-2 (Verified). Sonnet 4.5 does not support the later adaptive-thinking/effort parameter, so this max-configuration figure from Table 2.1.A is its only reported ARC-AGI-2 score."
claude-sonnet-4-6,58.3,self-reported,https://www.anthropic.com/claude-sonnet-4-6-system-card,,"Max-effort configuration; scored 60.4% at high effort (120k thinking budget). [Corrected during full-corpus audit: The existing entry's 'high effort' figure (60.4%) is correct and matches the System Card's footnote (60.42%), but its 'max-effort' figure of 66.4% does not appear in the primary source. Table 2.1.A and Figure 2.7.A (bar labeled 'Claude Sonnet 4.6 (Max)') both directly state Sonnet 4.6's ARC-AGI-2 (Verified) max-effort score as 58.3%.]"
gemini-3-1-pro,77.1,self-reported,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-pro/,2026-02-19,"ARC-AGI-2, verified score, more than double Gemini 3 Pro"
gemini-3-5-flash,72.1,self-reported,https://deepmind.google/models/gemini/flash/,2026-05-19,ARC-AGI-2 abstract reasoning puzzles.
gemini-3-flash,33.6,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Flash-Model-Card.pdf,2025-12-01,"ARC-AGI-2, ARC Prize Verified setting."
gemini-3-pro,31.1,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-Pro-Model-Card.pdf,2025-11-01,"ARC-AGI-2, ARC Prize Verified setting."
gpt-5-2,52.9,self-reported,https://openai.com/index/introducing-gpt-5-2/,,"ARC-AGI-2 Verified, GPT-5.2 Thinking; confirmed"
gpt-5-4,73.3,self-reported,https://the-decoder.com/openai-launches-gpt-5-4-thinking-and-pro-combining-coding-reasoning-and-computer-use-in-one-model/,,"ARC-AGI-2; Pro variant scores 83.3 (cross-confirmed by deeplearning.ai's The Batch, which reported GPT-5.2 Pro at 54.2% vs GPT-5.4 Pro at 83.3%)"
gpt-5-4-pro,83.3,self-reported,https://the-decoder.com/openai-launches-gpt-5-4-thinking-and-pro-combining-coding-reasoning-and-computer-use-in-one-model/,2026-03-05,"ARC-AGI-2 (Verified), up from GPT-5.2 Pro's 54.2%. Cross-confirmed by DataLearnerAI (83.30) and aireleasetracker.com."
gpt-5-5,85,self-reported,https://kingy.ai/news/gpt-5-5-benchmarks-revealed-the-9-numbers-that-prove-chatgpt-5-5-just-changed-the-ai-race/,2026-04-23,"ARC-AGI-2, base GPT-5.5, listed by kingy.ai as one of the '9 numbers ... quoted verbatim from OpenAI's evaluation tables'; independently corroborated at the identical 85.0% by buildfastwithai's review and by benchlm.ai's dedicated ARC-AGI-2 leaderboard ('GPT-5.5 Leads at 85%'). Flagging that this exceeds the taxonomy's documented arc-agi-2 range ceiling of 82 -- multiple independent sources agree on 85.0% as a new-SOTA figure at launch, so the taxonomy range appears to be outdated rather than the score being wrong, but noting this for the ingesting pipeline's awareness."
gpt-5-nano,22.6,independent,https://themodelbeat.com/models/gpt-5-nano,,"ARC-AGI-2 score from Epoch AI's independent evaluation of GPT-5 nano, relayed via themodelbeat.com."
gpt-5-pro,18.3,independent,https://epoch.ai/models/gpt-5-pro,,"Epoch AI's independent ARC-AGI-2 evaluation of GPT-5 Pro -- a genuinely hard, non-saturating eval (contrast with the model's much higher scores on GPQA/AIME)."
grok-4,15.9,self-reported,https://introl.com/blog/grok-4-just-shattered-the-ai-ceilingheres-why-that-changes-everything,2025-07-09,
