model_slug,score,source,source_url,evaluated_at,notes
claude-3-7-sonnet,83.2,self-reported,https://www.anthropic.com/news/claude-3-7-sonnet,2025-02-24,"Multilingual Q&A (MMMLU), standard mode / no extended thinking, from Anthropic's official benchmark-comparison chart on the announcement page. Extended-thinking mode scores 86.1% (not used, to stay consistent with the standard-mode convention of the existing 3 rows)."
claude-3-haiku,65.2,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-13,"Multilingual MMLU, 5-shot, from Table 5 of the Claude 3 Model Card."
claude-3-opus,79.1,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-04,"Multilingual MMLU, 5-shot, from Table 5 of the Claude 3 Model Card (Opus outperforms Claude 2.1 by 15.7 points per the card's own text)."
claude-3-sonnet,69,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-04,"Multilingual MMLU, 5-shot, from Table 5 of the Claude 3 Model Card."
claude-haiku-4-5,83,self-reported,https://www.anthropic.com/news/claude-haiku-4-5,2025-10-15,"Multilingual MMLU, averaged over 10 runs across 14 non-English languages, 128K thinking budget."
claude-opus-4-1,89.5,self-reported,https://www.anthropic.com/news/claude-opus-4-1,2025-08-05,"Multilingual MMLU, averaged over 14 non-English languages, per the launch page's official benchmark table."
claude-opus-4-5-high,90.8,self-reported,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47.pdf,2025-11-24,"The Opus 4.5 system card (Section 2.19) explicitly identifies this figure as MMMLU ('a score of 90.77% on MMMLU... average of 10 trials over the 14 languages'), not plain MMLU. The existing corpus row already carries this exact number (90.8) but under the slug 'mmlu' (inherited from vellum.ai, which mislabeled it) — since the score itself is not wrong, no 'correction' was filed per the audit rule against reporting corrections when old/new numbers agree, but this addition records its true benchmark identity. A maintainer may want to re-slug or remove the existing 'mmlu' row to avoid duplication."
claude-opus-4-6,91.1,self-reported,https://www.vellum.ai/blog/claude-opus-4-6-benchmarks,2026-02-05,"Multilingual MMLU, consistent with how this corpus already files Opus 4.7's 91.5% under the same slug."
claude-opus-4-7,91.5,self-reported,https://www.vellum.ai/blog/claude-opus-4-7-benchmarks-explained,,Multilingual MMLU.
claude-sonnet-4-6,89.3,self-reported,https://www.anthropic.com/claude-sonnet-4-6-system-card,2026-02-17,"MMMLU (Multilingual MMLU across 57 subjects x 14 non-English languages), averaged over 10 trials, adaptive thinking + max effort (System Card Section 2.11 / Table 2.1.A)."
exaone-4-5,85.4,self-reported,https://arxiv.org/abs/2604.08644,2026-04-09,"MMMLU average over ko/de/es/ja subset only (paper does not report the full 14-language average), so treat as approximate/partial match to the taxonomy definition"
gemma-4,88.4,self-reported,https://ai.google.dev/gemma/docs/core/model_card_4,2026-04-02,"Multilingual MMLU, 31B. Slightly above the taxonomy's typical 30-88 range ceiling but confirmed identically on two independent primary sources (ai.google.dev and huggingface.co)."
gemma-4-26b-a4b,86.3,self-reported,https://huggingface.co/google/gemma-4-26B-A4B-it,2026-04-02,"Multilingual MMLU, 26B A4B, from the official Gemma 4 benchmark table."
gpt-4-1,87.3,self-reported,https://docsbot.ai/models/compare/gpt-4-1/gpt-4-1-mini,2025-04-14,"Listed as ""Global MMLU"" pass@1 in OpenAI's launch table."
gpt-4-1-mini,78.5,self-reported,https://docsbot.ai/models/gpt-4-1-mini,2025-04-14,"Listed as ""Global MMLU"" (multilingual MMLU) in OpenAI's launch table; relayed via docsbot.ai."
gpt-4-1-nano,66.9,self-reported,https://docsbot.ai/models/gpt-4-1-nano,2025-04-14,"Listed as ""Global MMLU"" in OpenAI's launch table."
gpt-4-5,85.1,independent,https://www.helicone.ai/blog/gpt-4.5-benchmarks,2025-02-01,Multilingual MMLU (MMMLU)
gpt-oss-120b-high,81.3,self-reported,https://arxiv.org/abs/2508.10925,2025-08-05,"MMMLU average across 14 human-translated languages, high reasoning effort. Read directly from Table 2/Table 3 of the official model card."
gpt-oss-120b-low,74.1,self-reported,https://arxiv.org/abs/2508.10925,2025-08-05,"MMMLU average across 14 human-translated languages, low reasoning effort. Read directly from Table 2/Table 3 of the official model card."
gpt-oss-120b-medium,79.3,self-reported,https://arxiv.org/abs/2508.10925,2025-08-05,"Multilingual MMLU average, medium reasoning effort"
gpt-oss-20b-high,75.7,self-reported,https://arxiv.org/abs/2508.10925,2025-08-05,"Multilingual MMLU average, high reasoning effort"
gpt-oss-20b-low,67,self-reported,https://arxiv.org/abs/2508.10925,2025-08-05,"Multilingual MMLU average, low reasoning effort"
gpt-oss-20b-medium,73.5,self-reported,https://arxiv.org/abs/2508.10925,2025-08-05,"Multilingual MMLU average, medium reasoning effort"
granite-4-0-h-small,69.69,self-reported,https://huggingface.co/ibm-granite/granite-4.0-h-small,,5-shot
granite-4-1-8b-instruct,64.84,self-reported,https://huggingface.co/ibm-granite/granite-4.1-8b,,5-shot
lg-exaone-4-0-32b-non-reasoning,80.6,self-reported,https://arxiv.org/abs/2507.11407,,"MMMLU (Multilingual MMLU) Spanish-language split, non-reasoning mode."
lg-exaone-4-0-32b-reasoning,85.6,self-reported,https://arxiv.org/abs/2507.11407,,"MMMLU (Multilingual MMLU) Spanish-language split, reasoning mode."
phi-3-5-mini-3-8b,55.4,self-reported,https://huggingface.co/microsoft/Phi-3.5-mini-instruct,,"Multilingual MMLU, 5-shot; HF model card."
phi-4-mini-3-8b,49.3,self-reported,https://arxiv.org/abs/2503.01743,,"Table 7, 'Multilingual-MMLU' (5-shot)."
phi-4-mini-instruct,49.3,self-reported,https://arxiv.org/abs/2503.01743,,"Table 7, Multilingual-MMLU (5-shot)."
qwen3-14b-non-thinking,72.6,self-reported,https://arxiv.org/pdf/2505.09388,,"MMMLU 14 languages, Table 16, Qwen3-14B (Non-thinking) column"
qwen3-14b-thinking,77.9,self-reported,https://arxiv.org/pdf/2505.09388,,"MMMLU 14 languages, Table 15, Qwen3-14B (Thinking) column"
