model_slug,score,source,source_url,evaluated_at,notes
internvl2-5-78b,93.7,self-reported,https://internvl.github.io/blog/2024-12-05-InternVL-2.5/,,"RefCOCO val split (testA 95.6, testB 92.5 also reported); slightly exceeds the slug's stated 50-92 range"
internvl3-78b,93.4,self-reported,https://internvl.github.io/blog/2025-04-11-InternVL-3.0/,,"RefCOCO val split (testA 95.4, testB 90.3 also reported); slightly exceeds the slug's stated 50-92 range"
nemotron-3-nano-omni,90.5,self-reported,https://arxiv.org/abs/2604.24954,,"Table 7, reasoning-on mode; a reasoning-budget ablation in Table 11 gives a nearly identical 90.6."
qwen-vl,89.36,self-reported,https://huggingface.co/Qwen/Qwen-VL,,"RefCOCO val, referring-expression grounding accuracy"
qwen2-5-vl-72b,92.7,self-reported,https://arxiv.org/pdf/2502.13923,2025-02-19,"RefCOCO val split, Table 6 (""Performance of Qwen2.5-VL and other models on grounding"") of the Qwen2.5-VL Technical Report. Same table also reports testA 94.6 and testB 89.7 for this model. Distinct benchmark/slug from the already-tracked RefCOCO+ result (which came from a third-party InternVL3 comparison table)."
qwen3-5-omni-flash,92.6,self-reported,https://qwen.ai/blog?id=qwen3.5-omni,2026-04-17,"Reported as 'RefCOCO(avg)' in Table 6, Spatial Intelligence section — averaged across val/testA/testB splits rather than a single split score. Distinct benchmark from RefCOCO+ (catalog's separate 'refcoco-plus' slug), which is not reported here."
qwen3-5-omni-plus,95,self-reported,https://arxiv.org/abs/2604.15804,2026-04-21,"Table 6 (Vision→Text), Spatial Intelligence section, Qwen3.5-Omni-Plus column, cell S5.T6.3.24.4. Paper labels row 'RefCOCO(avg)' with no separate RefCOCO+/RefCOCOg row, so this is an average across RefCOCO val/testA/testB splits."
qwen3-6-27b,92.5,self-reported,https://huggingface.co/Qwen/Qwen3.6-27B,,Listed as 'RefCOCO avg' on the official HF model card.
qwen3-6-35b-a3b,92,self-reported,https://huggingface.co/Qwen/Qwen3.6-35B-A3B,,Listed as 'RefCOCO(avg)' on the official HF model card.
qwen3-6-plus,93.5,self-reported,https://qwen.ai/blog?id=qwen3.6,2026-04-02,"Vision-language table, Spatial Intelligence section, 'RefCOCO(avg)' row (average across val/testA/testB splits)."
reka-edge-2026,93.13,self-reported,https://huggingface.co/RekaAI/reka-edge-2603,,best of reported RefCOCO variants (range 93.13-86.70)
