model_slug,score,source,source_url,evaluated_at,notes
claude-3-7-sonnet,0,independent,https://trishullab.github.io/PutnamBench/leaderboard.html,2025-03-12,"Official PutnamBench leaderboard entry 'claude-3.7-sonnet': solved 0 of 672 Lean 4 problems pass@1, evaluated via FTPEvals (commit 0da3032, cost ~$21; model config claude-37.yaml -> 'claude-3-7-sonnet-20250219', standard/non-extended-thinking mode, matching this corpus's single Claude 3.7 Sonnet entry). Added in leaderboard commit c120a690 (2025-03-12), unchanged since."
deepseek-prover-v2-671b,7.14,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-Prover-V2-671B,2025-04-30,PutnamBench: 49 of 658 problems solved (%) [score corrected during round-5 full-corpus accuracy re-verify: 7.45 -> 7.14]
deepseek-r1-671b,0.15,independent,https://trishullab.github.io/PutnamBench/leaderboard.html,2025-03-30,"Official PutnamBench leaderboard (trishullab/PutnamBench, docs/results.json entry 'Deepseek R1'): solved 1 of 672 Lean 4 problems (1977 A3) pass@1. Evaluated via the FTPEvals harness (github.com/GeorgeTsoukalas/FTPEvals, commit 0da3032; model config deepseek-r1.yaml -> API model 'deepseek-reasoner', matching this corpus entry). Score updated from 0->1 in leaderboard commit 52212458 (2025-03-30); verified via GitHub commit history (`git log -p docs/results.json`)."
deepseek-v3-0324,0,independent,https://trishullab.github.io/PutnamBench/leaderboard.html,2025-03-31,"Official PutnamBench leaderboard entry 'DeepSeek-V3-0324': solved 0 of 672 Lean 4 problems pass@1, evaluated via FTPEvals (commit 0da3032, cost ~$2; model config deepseek-v3.yaml -> API model 'deepseek-chat', which at eval time pointed to the V3-0324 checkpoint, matching this corpus entry). Added in leaderboard commit 41fdd55f (2025-03-31)."
gemini-2-0-flash-thinking-experimental,0.15,independent,https://trishullab.github.io/PutnamBench/leaderboard.html,2025-03-30,"Official PutnamBench leaderboard entry 'gemini-2.0-flash-thinking-121': solved 1 of 672 Lean 4 problems (1977 A3) pass@1, evaluated via FTPEvals (commit 0da3032; model config gemini-2-flash-thinking.yaml -> API model 'gemini-2.0-flash-thinking-exp-01-21', matching this corpus entry's 01-21 release date). Score updated 0->1 in leaderboard commit 52212458 (2025-03-30)."
gemini-2-5-pro,0.45,independent,https://trishullab.github.io/PutnamBench/leaderboard.html,2025-03-30,"Official PutnamBench leaderboard entry 'gemini-2.5-pro-exp-0325': solved 3 of 672 Lean 4 problems (2001 A1, 2012 A2, 1977 A3) pass@1, evaluated via FTPEvals (commit 0da3032; model config gemini-2.5-pro-exp-03-25.yaml, matching this corpus entry's 2025-03-25 release date exactly). Added in leaderboard commit 52212458 (2025-03-30)."
gpt-4o,0.16,independent,https://arxiv.org/abs/2407.11214,2024-11-03,"From the original PutnamBench paper (Tsoukalas et al. 2024, NeurIPS'24 D&B track), Table 3: few-shot GPT-4 evaluated via in-context learning at pass@10 on the Lean 4 formalizations, solving 1 of 640 problems (0.16%). Footnote 3 of the paper confirms 'We use GPT-4o for all our evaluations', so the 'GPT-4' rows in Table 3 are GPT-4o. The same paper also reports GPT-4o solving 1/640 in Isabelle and 1/412 in Coq under separate prompting configs; the Lean result is reported here as the canonical PutnamBench figure (matching the methodology of the already-tracked DeepSeek-Prover-V2-671B entry, which also uses the Lean split)."
gpt-4o-mini,0,independent,https://trishullab.github.io/PutnamBench/leaderboard.html,2025-03-12,"Official PutnamBench leaderboard entry 'GPT-4o-mini': solved 0 of 672 Lean 4 problems pass@1 (T=0.7), evaluated via FTPEvals (commit 0da3032; model config gpt4o-mini.yaml -> API model 'gpt-4o-mini'). Added in leaderboard commit c120a690 (2025-03-12), unchanged since."
grok-3-mini,0,independent,https://trishullab.github.io/PutnamBench/leaderboard.html,2025-04-12,"Official PutnamBench leaderboard entry 'Grok-3-mini': solved 0 of 672 Lean 4 problems pass@1, evaluated via FTPEvals (commit 0da3032, cost <$1; model config grok3-mini.yaml -> API model 'grok-3-mini-beta', matching this corpus's single Grok-3 mini entry, released 2025-02-17). Added in leaderboard commit 5c2d86be (2025-04-12)."
openai-o3-mini-medium,0,independent,https://trishullab.github.io/PutnamBench/leaderboard.html,2025-03-12,"Official PutnamBench leaderboard entry 'o3-mini': solved 0 of 672 Lean 4 problems pass@1, evaluated via FTPEvals (commit 0da3032, cost ~$20; model config o3-mini.yaml confirms reasoning_effort: medium, disambiguating which of the corpus's three o3-mini effort variants this maps to). Added in leaderboard commit c120a690 (2025-03-12), unchanged since."
openai-o4-mini,0.3,independent,https://trishullab.github.io/PutnamBench/leaderboard.html,2025-04-16,"Official PutnamBench leaderboard entry 'o4-mini-high': solved 2 of 672 Lean 4 problems (2001 A1, 2012 A2) pass@1, evaluated via FTPEvals (commit 0da3032; model config o4-mini.yaml confirms reasoning_effort: high). This corpus tracks a single o4-mini entry (no separate high/medium split), consistent with the file's existing convention of attaching high-reasoning-effort results here (see e.g. its aider-polyglot/mathvista notes). Added in leaderboard commit a5731c67 (2025-04-16)."
