model_slug,score,source,source_url,evaluated_at,notes
claude-3-5-haiku,43,independent,https://artificialanalysis.ai/models/claude-3-5-haiku,,"IFBench (instruction following, distinct benchmark from IFEval which is already tracked) score of 43%, from Artificial Analysis's live per-model Intelligence Breakdown chart. Not previously tracked for this model."
command-a-218b,73.9,independent,https://benchlm.ai/models/command-a-plus,,Artificial Analysis's independent IFBench score for Command A+ ('AA-IFBench'). Not published by Cohere itself.
deepseek-v3-0324,41,independent,https://artificialanalysis.ai/models/deepseek-v3-0324,,"IFBench (instruction-following), Artificial Analysis Intelligence Index v4.1, row labeled 'DeepSeek V3 0324' (41%, vs. 35% for the separately-tracked Dec-2024 'DeepSeek V3')."
deepseek-v3-1-non-thinking,38,independent,https://artificialanalysis.ai/models/deepseek-v3-1,,"IFBench (instruction-following), Artificial Analysis Intelligence Index v4.1 breakdown, row labeled 'DeepSeek V3.1' (non-reasoning) at 38%. Not present anywhere in the DeepSeek HF model card's own eval table, so a genuinely new independent result for this config."
deepseek-v4-pro-non-think,46,independent,https://artificialanalysis.ai/models/deepseek-v4-pro-non-reasoning,2026-07-14,"Artificial Analysis Intelligence Index v4.1 breakdown, IFBench (instruction following) row for the plain 'DeepSeek V4 Pro' (non-reasoning) model page — distinct from the higher 76% scored by the separate 'DeepSeek V4 Pro (max)' reasoning-tier page. Verified live via the site's Intelligence Breakdown table (DeepSeek V4 Pro = 46%). Cross-check: the same page's GPQA Diamond (72%) and HLE (8%) rows for this tier are consistent with the corpus's existing self-reported 72.9/7.7 values, so those were NOT re-added."
ernie-4-5-300b-a47b,39,independent,https://artificialanalysis.ai/models/ernie-4-5-300b-a47b,,"IFBench, from AA's Intelligence Evaluations breakdown."
ernie-5-0-preview,41,independent,https://artificialanalysis.ai/models/ernie-5-0-thinking-preview,,"IFBench, from AA's Intelligence Evaluations breakdown for 'ERNIE 5.0 Thinking Preview'."
exaone-4-5,62.6,self-reported,https://arxiv.org/abs/2604.08644,2026-04-09,
falcon-h1r-7b,53.4,self-reported,https://huggingface.co/tiiuae/Falcon-H1R-7B,,
gemini-2-0-flash,40.2,independent,https://artificialanalysis.ai/models/gemini-2-0-flash,2026-07-15,"IFBench instruction-following eval, Artificial Analysis independent evaluation of the GA Feb '25 snapshot (raw score 0.4020408163265). Not previously tracked."
gemini-3-5-flash,76.3,independent,https://artificialanalysis.ai/models/gemini-3-5-flash,2026-07-15,"IFBench instruction-following eval, Artificial Analysis independent evaluation (raw score 0.7632653061224, same model-page listing as the tau2-bench-telecom entry above). Not previously tracked."
gemma-4-26b-a4b,72,self-reported,https://arxiv.org/abs/2607.02770,2026-04-02,"26B A4B column of Table 5 ('Performance comparison of Gemma 3 27B and Gemma 4 models on diverse benchmarks') in the Gemma 4 Technical Report. Verified against the raw HTML table cells (arxiv.org/html/2607.02770, table id S2.T5, column order 31B/26B-A4B/12B/E4B/E2B/Gemma3-27B confirmed by cross-checking the 31B and 26B-A4B MMLU-Pro/AIME/GPQA cells against the already-verified values on file for both this model and the dense gemma-4.json sibling)."
glm-4-5-355b-a32b,44,independent,https://artificialanalysis.ai/models/glm-4.5,2026-07-15,"IFBench (instruction-following), independently measured by Artificial Analysis as one component of their live Intelligence Evaluations breakdown for GLM-4.5 (Reasoning); read directly from AA's ranked bar chart (44%, last of 23 models shown on that chart). Not self-reported by Z.ai and not previously tracked for this model -- the corpus's 14 existing results are all either self-reported (arXiv 2508.06471) or independent scores from llm-stats.com (mmlu-pro, gpqa, livecodebench, hle), none of which cover IFBench."
glm-4-5-air-106b-a12b,37.6,independent,https://artificialanalysis.ai/models/glm-4-5-air,2026-07-15,"Artificial Analysis's own IFBench measurement for GLM-4.5-Air (37.6%), verbatim-confirmed in the JSON payload embedded in BenchLM.ai's model page (AA-data mirror, display-only row). Distinct from the already-tracked self-reported IFEval score (86.3); not currently tracked for this model."
glm-4-6,36.7,independent,https://artificialanalysis.ai/models/glm-4-6,2026-07-15,"Artificial Analysis's own IFBench measurement for GLM-4.6 (36.7%), verbatim-confirmed in the JSON payload embedded in BenchLM.ai's model page (AA-data mirror, display-only row, sourceUrl points to AA's own model page). Not reported by Zhipu/Z.ai itself; not currently tracked for this model."
glm-5,72,independent,https://artificialanalysis.ai/models/glm-5,2026-07-15,"IFBench (instruction-following), independently measured by Artificial Analysis, one of the Intelligence Evaluations shown on GLM-5 (Reasoning)'s live AA model page (72%, ranked 13th of 23 models shown). Not reported by Z.ai in its own launch materials (which cover HLE/AIME/GPQA/SWE-bench/Terminal-Bench/CyberGym/BrowseComp/tau2-bench, all already tracked) and not previously present in the corpus for GLM-5."
glm-5-1,76,independent,https://artificialanalysis.ai/models/glm-5-1,2026-07-14,"IFBench (instruction-following), one of 9 components in Artificial Analysis's Intelligence Index v4.1. Read directly from AA's live ranked bar chart (GLM-5.1 tied 8th of 23 models at 76%). Not self-reported by Z.ai; GLM-5.1 was never evaluated on IFBench in its own launch materials."
glm-5-2-max,73.3,independent,https://benchlm.ai/models/glm-5-2,,"Artificial Analysis's independent IFBench measurement for GLM-5.2 (max), surfaced via the BenchLM.ai AA-data mirror. Not reported by Zhipu/Z.ai itself."
gpt-5-4-nano,76,independent,https://artificialanalysis.ai/models/gpt-5-4-nano,2026-07-15,"IFBench (instruction following), independently measured by Artificial Analysis on the 'GPT-5.4 nano (xhigh)' model page. Not previously tracked here. (AA's independently re-measured Terminal-Bench v2.1 (61%), GPQA Diamond (82%), HLE (26%), and MMMU-Pro (65%) for this model were checked but all duplicate benchmark slugs already tracked on this entry from OpenAI's own launch post -- skipped as non-novel per instructions, despite some numeric divergence from the self-reported figures.)"
gpt-5-5-high,71.6,independent,https://artificialanalysis.ai/models/gpt-5-5-high,,"IFBench, from Artificial Analysis's per-model data for 'GPT-5.5 (high)'."
gpt-5-mini,75,independent,https://artificialanalysis.ai/models/gpt-5-mini,2026-07-14,"IFBench (instruction following), independently measured by Artificial Analysis on GPT-5 mini (high)'s live model page. No OpenAI-published IFBench figure exists for this model."
