model_slug,score,source,source_url,evaluated_at,notes
amazon-nova-lite,86.8,self-reported,https://cdn.amazon.science/96/7d/0d3e59514abf8fdcfafcdc574300/nova-tech-report-20250317-0810.pdf,,"ChartQA (test, relaxed accuracy) from Table 3 of the official Nova technical report."
amazon-nova-pro,89.2,self-reported,https://arxiv.org/pdf/2506.12103,2024-12-03,"ChartQA test split, relaxed accuracy (Table 3)."
claude-3-5-sonnet,90.8,self-reported,https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,2024-06-20,"test split, relaxed accuracy, Table 2."
claude-3-5-sonnet-new,90.8,self-reported,https://assets.anthropic.com/m/1cd9d098ac3e6467/original/Claude-3-Model-Card-October-Addendum.pdf,2024-10-22,"test split, relaxed accuracy, 0-shot CoT, Table 5."
claude-3-haiku,81.7,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-13,"ChartQA test set, relaxed accuracy, 4-shot CoT, from Table 3 of the Claude 3 Model Card."
claude-3-opus,80.8,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-04,"ChartQA test set, relaxed accuracy, 4-shot CoT, from Table 3 of the Claude 3 Model Card."
claude-3-sonnet,81.1,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-04,"ChartQA test set, relaxed accuracy, 4-shot CoT, from Table 3 of the Claude 3 Model Card."
deepseek-vl2,86,self-reported,https://arxiv.org/html/2412.10302v1,,Base variant
ernie-4-5-vl-424b-a47b,86.8,self-reported,https://ernie.baidu.com/blog/publication/ERNIE_Technical_Report.pdf,2025-06-29,"Table 8, thinking mode."
gemini-1-5-flash,85.4,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,2024-05-01,"ChartQA test split, 0-shot with chain-of-thought rationale, Table 18 of the Gemini 1.5 technical report."
gemini-1-5-pro,87.2,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,2024-05-01,"ChartQA test split, 0-shot with chain-of-thought rationale, Table 18."
gemma-3-4b,68.8,self-reported,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-12,"Table 16, IT 4B."
gpt-4o,85.7,self-reported,https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,,"ChartQA (test, relaxed accuracy), 0-shot CoT. Same provenance as the MMMU row above."
internvl2-5-78b,88.3,self-reported,https://internvl.github.io/blog/2024-12-05-InternVL-2.5/,,ChartQA test average
internvl3-78b,89.7,self-reported,https://internvl.github.io/blog/2025-04-11-InternVL-3.0/,,
llama-3-2-11b-vision,83.4,self-reported,https://huggingface.co/meta-llama/Llama-3.2-11B-Vision,2024-09-01,"Instruct, test"
llama-3-2-90b-vision,85.5,self-reported,https://huggingface.co/meta-llama/Llama-3.2-90B-Vision-Instruct,,"ChartQA test, CoT, relaxed accuracy"
llama-4-maverick,85.3,self-reported,https://huggingface.co/blog/llama4-release,2025-04-05,"Pre-trained/base model comparison table, relaxed_accuracy metric"
minicpm-o-2-6,86.9,self-reported,https://huggingface.co/openbmb/MiniCPM-o-2_6,2025-01-13,
minicpm-v-2-6,79.4,self-reported,https://huggingface.co/openbmb/MiniCPM-o-2_6,2024-08-06,"Not in MiniCPM-V 2.6's own results table; taken from the fuller cross-model comparison table on the MiniCPM-o 2.6 model card, which includes a MiniCPM-V 2.6 reference row with additional columns (ChartQA, MathVision) beyond the model's own doc."
minimax-vl-01,91.7,self-reported,https://huggingface.co/MiniMaxAI/MiniMax-VL-01,,relaxed accuracy
mistral-small-3-1-24b,86.24,self-reported,https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503,,
molmo-2-8b,86,self-reported,https://arxiv.org/abs/2601.10611,,"Molmo2 Technical Report Table 6, Molmo2-8B row."
molmo-72b,87.3,self-reported,https://arxiv.org/abs/2409.17146,2024-09-25,"Molmo Technical Report Table 1, Molmo-72B row."
nemotron-3-nano-omni,90.3,self-reported,https://arxiv.org/abs/2604.24954,,"Table 7, ChartQA Test split, reasoning-on mode."
phi-3-5-vision-4-2b,81.8,self-reported,https://huggingface.co/microsoft/Phi-3.5-vision-instruct,,test split
phi-4-multimodal-5-6b,81.4,self-reported,https://arxiv.org/abs/2503.01743,,"Table 1, ChartQA."
phi-4-multimodal-instruct,81.4,self-reported,https://arxiv.org/abs/2503.01743,,"Table 1, ChartQA."
pixtral-12b,81.8,self-reported,https://mistral.ai/news/pixtral-12b/,,CoT prompting
pixtral-large-124b,88.1,self-reported,https://huggingface.co/mistralai/Pixtral-Large-Instruct-2411,2024-11-18,ChartQA (CoT) row of the same table.
qwen-vl,65.7,self-reported,https://huggingface.co/Qwen/Qwen-VL,,ChartQA
qwen2-5-vl-72b,89.5,self-reported,https://huggingface.co/Qwen/Qwen2.5-VL-72B-Instruct,,
qwen2-vl-72b,88.3,self-reported,https://huggingface.co/Qwen/Qwen2-VL-72B-Instruct,,"ChartQA test split, from the official HF model card benchmark table."
