model_slug,score,source,source_url,evaluated_at,notes
ai21-jurassic-2-ultra,55.8,independent,https://crfm.stanford.edu/helm/classic/latest/#/leaderboard/openbookqa,,"Stanford HELM Classic leaderboard, 0-shot EM=0.558, listed as 'Jurassic-2 Jumbo (178B)' (pre-rename name for Ultra). Exact run date not shown on page."
apple-dclm-baseline-7b,45.4,self-reported,https://huggingface.co/apple/DCLM-Baseline-7B,,'OpenBookQA' row (0.4540) on the model's official HF eval table.
btlm-3b-8k,40.4,self-reported,https://arxiv.org/abs/2309.11568,,"0-shot (test split), Table 3"
cerebras-gpt-13b,28.6,self-reported,https://huggingface.co/cerebras/Cerebras-GPT-13B,,"0-shot, from the same HF model card results table. Note: this falls below the taxonomy's typical openbookqa range (40-50), but it is the genuine value stated on the official model card for this 2023-era 13B dense base model."
claude-1,90.8,independent,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard,,"Stanford HELM Lite leaderboard (fetched live via browser, since static HTML fetch does not render the JS table), 'Claude v1.3' row: OpenbookQA EM = 0.908. Corroborates the 1.3-checkpoint identity of Anthropic's own July 2023 model-card table (same checkpoint name). Same version caveat as other Claude-1 additions in this pass."
claude-instant-1-2,84.4,independent,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard,,"Stanford HELM Lite leaderboard, 'Claude Instant 1.2' row: OpenbookQA EM = 0.844."
comma-v0-1-2t,46.2,self-reported,https://huggingface.co/common-pile/comma-v0.1-2t,,
command,77.4,independent,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard,,"Stanford HELM Lite, model id 'cohere_command'. OpenbookQA-EM = 0.774. Fills a real gap: this model had 0 tracked results in the corpus before this pass."
deepseek-llm-67b,63.2,self-reported,https://ar5iv.labs.arxiv.org/html/2401.02954,,"DeepSeek LLM 67B Chat, paper Table 6. Note: score exceeds this corpus taxonomy's documented openbookqa range (40-50, based on smaller/older models); flagging in case downstream scaling needs adjusting, but the figure itself is verified verbatim from the paper table via two independent fetches."
falcon-7b,44.6,self-reported,https://arxiv.org/abs/2311.16867,,"From Table 21 of the Falcon tech report; footnoted there as measured without outlining candidates in the prompt, since performance is otherwise close to random for the 7B model."
falcon3-10b,48.2,self-reported,https://huggingface.co/tiiuae/Falcon3-10B-Instruct,,"0-shot, internal pipeline table."
falcon3-7b,45.8,self-reported,https://huggingface.co/tiiuae/Falcon3-7B-Instruct,2024-12-17,"OpenbookQA (0-shot), from the model card's 'internal pipeline benchmarks' table, 'CommonSense Understanding' section. Not previously tracked for this model."
gemma-2b,47.8,self-reported,https://huggingface.co/google/gemma-2b,,
gemma-7b,52.8,self-reported,https://storage.googleapis.com/deepmind-media/gemma/gemma-report.pdf,2024-02-21,"Table 6, OBQA, 0-shot. Slightly above the taxonomy's typical 40-50 range ceiling but this is the literal number printed in the official technical report's academic-benchmark table (verified via direct PDF text extraction)."
gpt-3-175b,65.4,self-reported,https://arxiv.org/abs/2005.14165,,Few-shot (Table 3.6)
gpt-j-6b,28.8,self-reported,https://arxiv.org/abs/2204.06745,2022-04-14,"Zero-shot, Table 2 of the GPT-NeoX-20B paper (acc=0.288)."
gpt-neox-20b,29,self-reported,https://arxiv.org/abs/2204.06745,2022-04-14,"Zero-shot, Table 2 of the GPT-NeoX-20B paper (acc=0.290)."
granite-3-0-2b-instruct,43.2,self-reported,https://huggingface.co/ibm-granite/granite-3.0-2b-instruct,,OBQA
granite-3-0-8b-instruct,46.6,self-reported,https://huggingface.co/ibm-granite/granite-3.0-8b-instruct,,"OBQA, 0-shot pass@1. Confirmed in HF model-index YAML and technical report Table 10."
h2o-danube-1-8b,39.2,self-reported,https://huggingface.co/h2oai/h2o-danube-1.8b-chat,,"0-shot OpenBookQA for h2o-danube-1.8b-chat, from the HF model card's benchmark table; cross-confirmed in arXiv:2401.16818 Table 4."
hermes-3-405b,48.8,self-reported,https://arxiv.org/pdf/2408.11857,,"0-shot, Table 5."
jais-70b,44.4,self-reported,https://huggingface.co/inceptionai/jais-adapted-70b,,English OpenBookQA score for jais-adapted-70b-chat.
krutrim-2-12b,49,self-reported,https://huggingface.co/krutrim-ai-labs/Krutrim-2-instruct,,"OpenBookQA, 0-shot accuracy"
llama-13b,56.4,self-reported,https://ar5iv.labs.arxiv.org/html/2302.13971,2023-02-01,"0-shot, Table 3. Note: this exceeds the taxonomy's typical 40-50 range for this slug, but is the exact figure printed in the paper (confirmed via direct PDF text extraction) — GPT-3 175B and PaLM 540B score even higher (57.6/53.4) on the same table row, so a 13B model at 56.4 is plausible for this particular eval setup."
llama-2-13b,57,self-reported,https://ar5iv.labs.arxiv.org/html/2307.09288,2023-07-18,"0-shot, Table 20 'Performance on standard benchmarks' (OBQA column) of the official Llama 2 paper."
llama-2-70b,60.2,self-reported,https://ar5iv.labs.arxiv.org/html/2307.09288,2023-07-18,"0-shot, Table 20 'Performance on standard benchmarks' (OBQA column) of the official Llama 2 paper. Not previously tracked for this model despite the sibling common-sense-reasoning benchmarks (PIQA, SIQA, HellaSwag, WinoGrande, ARC-e/c) from the same table already being present."
llama-33b,58.6,self-reported,https://ar5iv.labs.arxiv.org/html/2302.13971,2023-02-01,"0-shot, Table 3 'Zero-shot performance on Common Sense Reasoning tasks' (OBQA column) of the original LLaMA paper. Value cross-checked against the identical figure reproduced for the 'LLaMA 33B' comparison row in Table 20 of the later Llama 2 paper (arXiv:2307.09288). All seven other columns of this table (BoolQ, PIQA, SIQA, HellaSwag, WinoGrande, ARC-e, ARC-c) were already tracked; only OBQA was missing."
llama-65b,60.2,self-reported,https://ar5iv.labs.arxiv.org/html/2302.13971,2023-02-01,"OpenBookQA (OBQA), 0-shot, Table 3 Common Sense Reasoning table -- same table already cited for this model's PIQA/SIQA/Winogrande/ARC/HellaSwag rows, but OBQA itself was not yet tracked."
llama-7b,57.2,self-reported,https://ar5iv.labs.arxiv.org/html/2302.13971,2023-02-01,"0-shot, Table 3 (Common Sense Reasoning table) — same table/source already used in this record for HellaSwag, PIQA, SIQA, WinoGrande, ARC-e, ARC-c"
luminous-supreme-70b,33,self-reported,https://aleph-alpha.com/en/blog/luminous-performance-benchmarks/,2023-02-20,"Core 16-task suite, 0-shot. Falls below the taxonomy's typical 40-50 display range for this benchmark, but is the number directly published by Aleph Alpha for this legacy (2022-era) 70B model."
mistral-nemo-12b,60.6,self-reported,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407,,"OpenBookQA 0-shot, from the official HF model card's Main Benchmarks table."
nemotron-h-56b,48.6,self-reported,https://arxiv.org/abs/2504.03624,,"OpenBookQA (0-shot, acc_norm), Table 4 of the Nemotron-H arXiv technical report, 56B-Base column. Not on the HF card; confirmed by direct inspection of the paper's HTML table rows."
nous-hermes-2-mixtral-8x7b-dpo,46.6,self-reported,https://huggingface.co/NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,2024-01-15,"acc_norm, part of GPT4All suite on the official HF model card."
olmo-7b,50.2,self-reported,https://huggingface.co/allenai/OLMo-7B,,
openhermes-2-5-mistral-7b,44.8,self-reported,https://huggingface.co/teknium/OpenHermes-2.5-Mistral-7B,2023-11-03,"acc_norm, part of GPT4All suite on the official HF model card."
openllama-7b,40,self-reported,https://github.com/openlm-research/open_llama,,"openbookqa/acc_norm via lm-evaluation-harness, OpenLLaMA 7B (v1)"
opt-175b,34,independent,https://ar5iv.labs.arxiv.org/html/2211.10438,2022-11-18,"FP16 baseline (zero-shot) for OPT-175B, same Table 3 of the SmoothQuant paper (arXiv 2211.10438) as the HellaSwag/WinoGrande additions — verified in both ar5iv HTML and the original PDF. OpenBookQA was not previously tracked for this model."
opt-iml-30b,50.6,self-reported,https://ar5iv.labs.arxiv.org/html/2212.12017,2022-12-22,"0-shot accuracy on OpenBookQA for OPT-IML 30B, Table 9 of the OPT-IML paper. Row 'OPT-IML 30B', OpenBookQA column = 50.6/55.2 (0-shot/32-shot). Note: this is marginally above the taxonomy's documented 40-50 typical range, but it is the real, verbatim figure printed in the paper's table."
palm-2,58.5,self-reported,https://arxiv.org/abs/2305.10403,2023-05-17,"PaLM 2-L (base, not instruction-tuned), 1-shot OpenBookQA, Table 2 of the PaLM 2 Technical Report."
palm-540b,53.4,self-reported,https://arxiv.org/abs/2204.02311,2022-04-05,"Table 5 of the PaLM paper: PaLM 540B, 0-shot OpenBookQA."
phi-1-5-1-3b,37.2,self-reported,https://ar5iv.labs.arxiv.org/html/2309.05463,2023-09-11,Table 3.
phi-2-2-7b,73.6,self-reported,https://arxiv.org/pdf/2404.14219,,"10-shot; Phi-3 Technical Report's standardized baseline-comparison table (same table already used for Phi-2's other rows), Phi-2 column. Confirmed via pdftotext extraction of the full comparison table (MMLU/HellaSwag/ANLI/GSM8K/MedQA/AGIEval/TriviaQA/Arc-C/Arc-E/PIQA/SociQA/BBH/WinoGrande/OpenBookQA/BoolQ/CommonSenseQA/TruthfulQA/HumanEval/MBPP/GPQA/MT-Bench rows), which was not previously pulled for this benchmark."
phi-3-5-moe-16x3-8b-6-6b-active,89.6,self-reported,https://huggingface.co/microsoft/Phi-3.5-MoE-instruct,,
phi-3-medium-14b,87.4,self-reported,https://huggingface.co/microsoft/Phi-3-medium-4k-instruct,,10-shot
phi-3-mini-3-8b,82.2,self-reported,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct,,10-shot
phi-3-small-7b,88,self-reported,https://huggingface.co/microsoft/Phi-3-small-8k-instruct,,10-shot
redpajama-incite-7b-base,50.4,self-reported,https://arxiv.org/abs/2411.12372,,"HELM OpenbookQA EM score, Table 8 ('HELM Benchmark results for RedPajama-INCITE-Base-7B-v1 and instruction tuned') of the RedPajama technical paper."
redpajama-incite-7b-instruct,48.8,self-reported,https://arxiv.org/abs/2411.12372,,"HELM OpenbookQA EM score, Table 8."
sarashina2-70b,39.2,independent,https://swallow-llm.github.io/evaluation/index.en.html,,"From Swallow LLM Leaderboard English-task table. [unit-corrected during round4 verify-merge: source table reports as a 0-1 fraction (0.392), normalized to percentage]"
smollm2-1-7b,42.2,self-reported,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B,,"Base pre-trained model, zero-shot."
ul2-20b,87.2,self-reported,https://arxiv.org/abs/2205.05131,2022-05-10,"UL2 20B, finetuned/leaderboard-submission result from Table 8, row 'OBQA Accuracy Test ... 87.2 [prior SOTA] 87.2 [UL2 20B]' (tied). Verbatim-confirmed via ar5iv render. A separate zero-shot SuperGLUE result (63.0-65.2 avg, Table 10) also exists in the same paper but was NOT added since 'superglue' is already a tracked slug for this model (currently the Table 9 finetuned 90.7 figure) and the task instructions say to skip a slug that's already present regardless of setting."
xgen-7b-8k,40.2,self-reported,https://ar5iv.labs.arxiv.org/html/2309.03450,2023-07-03,"Zero-shot, Table 6"
