model_slug,score,source,source_url,evaluated_at,notes
claude-opus-4-8,31.25,independent,https://benchlm.ai/models/claude-opus-4-8,2026-05-28,"FrontierMath v2 Tier 4, attributed to the independent Epoch AI FrontierMath v2 leaderboard (claude-opus-4-8_max)."
gpt-5,8.3,independent,https://x.com/EpochAIResearch/status/1953615906535313664,2025-08-07,"FrontierMath Tier 4, same Epoch AI post as the tier1-3 entry: 'and 8.3% (±4.0%) in tiers 1-3 and 4, respectively' for GPT-5 with high reasoning effort. Distinct from GPT-5 Pro's already-tracked 19.5% tier-4 figure."
gpt-5-4,27.1,self-reported,https://the-decoder.com/openai-launches-gpt-5-4-thinking-and-pro-combining-coding-reasoning-and-computer-use-in-one-model/,,FrontierMath Tier 4 (Pro variant scores 38.0)
gpt-5-4-mini,2.1,independent,https://themodelbeat.com/models/gpt-5-4-mini,,"FrontierMath Tier 4 (hardest tier) from Epoch AI's independent evaluation of GPT-5.4 mini, relayed via themodelbeat.com."
gpt-5-4-pro,38,self-reported,https://the-decoder.com/openai-launches-gpt-5-4-thinking-and-pro-combining-coding-reasoning-and-computer-use-in-one-model/,2026-03-05,FrontierMath Tier 4. Cross-confirmed by aireleasetracker.com and DataLearnerAI (both list 38%).
gpt-5-5,35.4,self-reported,https://openai.com/index/introducing-gpt-5-5,,"FrontierMath Tier 4, base model (Pro scores 39.6); confirmed"
gpt-5-5-xhigh,35.4,self-reported,https://benchlm.ai/models/gpt-5-5,,Explicitly attributed to 'xhigh effort' by benchlm.ai. Numerically identical to the frontiermath-tier4 result already recorded on the base 'GPT-5.5' corpus entry -- see verificationNotes.
gpt-5-6-luna,58.5,self-reported,https://openai.com/index/gpt-5-6/,2026-07-24,"FrontierMath Tier 4 v2, GPT-5.6 Luna, OpenAI launch table; per kingy.ai's launch-table digest (kingy.ai/blog/gpt-5-6-sol-terra-luna-benchmarks-specs), corroborated by BenchLM (58.5%)."
gpt-5-6-sol,83,self-reported,https://openai.com/index/gpt-5-6/,,"FrontierMath Tier 4 v2, GPT-5.6 Sol; confirmed"
gpt-5-6-terra,68.3,self-reported,https://openai.com/index/gpt-5-6/,2026-07-24,"FrontierMath Tier 4 v2, GPT-5.6 Terra, OpenAI launch table; per kingy.ai's launch-table digest (kingy.ai/blog/gpt-5-6-sol-terra-luna-benchmarks-specs), corroborated by BenchLM (68.3%)."
gpt-5-nano,2.1,independent,https://themodelbeat.com/models/gpt-5-nano,,"FrontierMath Tier 4 (hardest tier) from Epoch AI's independent evaluation of GPT-5 nano, relayed via themodelbeat.com."
gpt-5-pro,19.5,independent,https://epoch.ai/models/gpt-5-pro,,"FrontierMath Tier 4 (v2), Epoch AI (±6.3% CI). Epoch also lists an older 'v1, old' measurement of 14.6% for this model, superseded here by the current v2 figure to avoid a duplicate/stale entry under the same slug."
grok-4-heavy,2.1,independent,https://epoch.ai/models/grok-4-heavy,,"FrontierMath Tier 4 (v1, old), Epoch AI's independent evaluation (±2.1% CI) -- verified directly on Epoch's Grok 4 Heavy model page. This is a genuinely hard, unfavorable data point (in sharp contrast to the near-saturating academic benchmarks xAI itself publicized for this model), which is exactly the kind of non-cherry-picked coverage this pass is meant to surface."
