model_slug,score,source,source_url,evaluated_at,notes
claude-fable-5,48.5,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), Claude Code harness, XHigh reasoning effort: Pass rate 25.7% / Score 48.7% (rank 12 overall). Score component used per corpus convention. Mirrored from agents-last-exam.org/leaderboard. [score corrected during adversarial verify: proposed 48.7 -> 48.5, per verifier: Verified by fetching the raw source HTML (curl, not the summarizing WebFetch tool, which gave inconsistent numbers across repeated calls on the same table). The source page (snorkel.ai/leaderboard/agents-last-exam) embeds several DISTINCT leaderboard splits in its JSON payload: ""overall"" (label ""Overall"", 50 entries) and ""ale_cli"" (label ""ALE-CLI"", description ""linux task only"", 55 entries) are separate tables, not the same thing. For harness=Claude Code, model=claude-fable-5, effort=XHigh, there are two different rows, one per split: - ""Overall"" split: rank 12, pass_rate 25.7%, score 48.7% - ""ALE-CLI"" split: rank 13, pass_rate 23.8%, score 48.5% The claim's notes explicitly say ""Agents' Last Exam (ALE-CLI, Overall leaderboard)"" and give pass rate 25.7% / score 48.7% / rank 12 — but those three numbers are actually the ""Overall"" split's row, not the ""ALE-CLI"" split's row. This is exactly the wrong-benchmark-variant pattern flagged in the task instructions (and matches this project's known variant-conflation failure mode from the prior dataset audit): the notes cite ""ALE-CLI"" by name, but the number pulled belongs to the sibling ""Overall"" split. The true ALE-CLI-split number for this exact model/harness/effort combination is pass rate 23.8%, score 48.5%, rank 13. Model, harness, and effort level are otherwise correctly identified (Claude Code harness, XHigh effort, claude-fable-5 is real and distinct from claude-opus-4-8 which has a similar 25.7% pass rate on the Overall split — likely the actual source of the mixup, since Opus 4-8's Overall pass rate of 25.7% appears to have been attached to Fable 5's ALE-CLI-labeled entry). Recommend correcting the score to 48.5 (and pass rate/rank to 23.8%/13 if those fields are tracked) if the corpus intends the ALE-CLI-specific split, or alternatively relabeling the notes to say ""Overall leaderboard"" (dropping the ALE-CLI qualifier) if 48.7 is the number actually wanted — but as currently worded, the notes and the number don't match the same split.]"
claude-opus-4-7,41.8,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), Cursor CLI harness, High reasoning effort: Pass rate 20.4% / Score 41.8% -- the best of several claude-opus-4-7 rows across harnesses (ALE-Claw 40.5, Claude Code 35.1, OpenClaw 34.6, Droid 31.0). Score component used per corpus convention."
claude-opus-4-8,45.2,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), Claude Code harness, Max reasoning effort: Pass rate 27.0% / Score 45.2% (rank 9 overall). Using the Score component per this corpus's established convention for this benchmark (see bytedance/seed-2-1-pro.json, openai/gpt-5-6.json). Mirrored from the official leaderboard at agents-last-exam.org/leaderboard (Berkeley RDI); catalog model has no effort-variant split, so the best-scoring configuration (Max) is used as the headline figure."
claude-sonnet-4-6,32,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (Linux-Task-Only leaderboard view), Hermes harness, Medium effort: Pass rate 13.2% / Score 32.0% -- the best of several claude-sonnet-4-6 rows (Forgecode Medium 28.5, Terminus 2 'Off' 30.9, OpenClaw High 31.0, Openhands 19.8). Not present in the top-50 of the main ALE-CLI Overall table, so sourced from the Linux-only leaderboard split of the same site. Score component used per corpus convention."
deepseek-v4-pro-think-high,27.6,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), OpenClaw harness, High reasoning effort: Pass rate 12.4% / Score 27.6% (rank 40, listed as 'deepseek-v4-pro'). Mapped to the 'Think High' catalog variant (vs. 'Non-Think' or 'Think Max') as the closest match to the leaderboard's 'High' effort label -- flagged as a moderate-confidence inference since the leaderboard doesn't use DeepSeek's own 'Think High' naming verbatim."
gemini-3-1-pro,32,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), Gemini CLI harness, High reasoning effort: Pass rate 15.8% / Score 32.0% (rank 34). Score component used per corpus convention."
glm-5-1,28.1,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), OpenClaw harness, High reasoning effort: Pass rate 11.5% / Score 28.1% (rank 44). Score component used per corpus convention."
glm-5-2-max,40.6,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), Claude Code harness, Max reasoning effort: Pass rate 20.4% / Score 40.6% (rank 25). The leaderboard's 'Max' effort label matches this catalog entry's own effortLabel field ('Max', isBestConfig=true) confirming the correct variant match. Score component used per corpus convention."
gpt-5-4,37.3,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), OpenClaw harness, High reasoning effort: Pass rate 20.5% / Score 37.3% (rank 22 overall). Score component used per corpus convention. Mirrored from agents-last-exam.org/leaderboard."
gpt-5-5-high,44,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), Codex harness, High reasoning effort: Pass rate 24.2% / Score 44.0% (rank 13). Matches this catalog entry's own effortLabel ('High'). Score component used per corpus convention."
gpt-5-5-xhigh,47.9,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), Codex harness, XHigh reasoning effort: Pass rate 26.6% / Score 47.9% (rank 10). Matches this catalog entry's own effortLabel ('xHigh'). Score component used per corpus convention."
gpt-5-6,52.7,self-reported,https://openai.com/index/gpt-5-6/,,"Agents' Last Exam, GPT-5.6 Sol; confirmed"
grok-4-3,20.1,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), Grok CLI harness, no effort listed ('--'): Pass rate 6.6% / Score 20.1% (rank 48). No-effort-label row maps to this catalog entry's default config (effortLabel=None, isDefaultConfig=true), distinct from the separate 'Grok 4.3 (High)' row/entry. Score component used per corpus convention."
grok-4-3-high,15.5,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), OpenClaw harness, High reasoning effort: Pass rate 4.3% / Score 15.5% (rank 50, listed as 'grok-4-3' + High). Matches this catalog entry's own effortLabel ('high'), distinguishing it from the plain 'Grok 4.3' entry/row. Score component used per corpus convention."
kimi-k2-6,21.7,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), OpenClaw harness, High reasoning effort: Pass rate 9.2% / Score 21.7% (rank 45). Score component used per corpus convention."
mimo-v2-5,23.6,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), OpenClaw harness, High reasoning effort: Pass rate 8.6% / Score 23.6% (rank 47, listed as 'mimo-v2-5' -- the non-Pro variant). Score component used per corpus convention."
minimax-m2-7,14.2,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), OpenClaw harness, High reasoning effort: Pass rate 5.9% / Score 14.2% (rank 49). Score component used per corpus convention."
qwen3-6-plus,24.3,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), OpenClaw harness, High reasoning effort: Pass rate 8.6% / Score 24.3% (rank 46). Score component used per corpus convention."
qwen3-7-max,31.1,independent,https://snorkel.ai/leaderboard/agents-last-exam/,,"Agents' Last Exam (ALE-CLI, Overall leaderboard), OpenClaw harness, High reasoning effort: Pass rate 11.8% / Score 31.1% (rank 41, listed as 'qwen3-7-max'). Score component used per corpus convention."
seed-2-1-pro,41.4,self-reported,https://lf3-static.bytednsdoc.com/obj/eden-cn/lapzild-tss/ljhwZthlaukjlkulzlp/seed2.1/Seed2_1_Model_Card.pdf,,"Agents' Last Exam (ALE), Table 1 of the official Seed2.1 Model Card PDF. ByteDance reports Seed2.1-Pro as Pass@1/Score = 19.5/41.4; I use the Score component (41.4) as the headline figure, since it is independently corroborated by llm-stats.com's public Agents' Last Exam leaderboard, which lists Seed 2.1 Pro's score as 41.4% (0.414) with no other models yet tracked. Confirmed in the model card's prose ('On Agents' Last Exam, Seed2.1-Pro reaches 19.5 / 41.4, outperforming Claude-4.7-Opus and Gemini-3.1-Pro while approaching GPT-5.5')."
