model_slug,score,source,source_url,evaluated_at,notes
amazon-nova-lite,73.3,self-reported,https://deepranking.ai/llm-models/nova-lite,,"[relabeled self-reported: aggregator/press relay of a vendor figure, not an independent re-measurement]"
amazon-nova-micro,69.3,self-reported,https://deepranking.ai/llm-models/nova-micro,,"[relabeled self-reported: aggregator/press relay of a vendor figure, not an independent re-measurement]"
amazon-nova-premier,82,self-reported,https://assets.amazon.science/e5/e6/ccc5378c42dca467d1abe1628ec9/amazon-nova-premier-technical-report-and-model-card.pdf,2025-04-30,"MATH-500 (the 500-problem competition-math test set), 0-shot CoT, exact-match accuracy (Table 1)."
amazon-nova-pro,76.6,self-reported,https://deepranking.ai/llm-models/nova-pro,,"[relabeled self-reported: aggregator/press relay of a vendor figure, not an independent re-measurement]"
aya-vision-32b,69.3,self-reported,https://www.datalearner.com/en/ai-models/pretrained-models/aya-vision-32b,,"[relabeled self-reported: aggregator/press relay of a vendor figure, not an independent re-measurement]"
baichuan2-13b,10.08,self-reported,https://github.com/baichuan-inc/Baichuan2/blob/main/README_EN.md,,"4-shot, Baichuan2-13B-Base. Score is low relative to the taxonomy's typical 20-100 range for 'math' but is the genuine reported number for this pre-CoT-era 13B dense base model on the full Hendrycks MATH set; included as-is rather than omitted or altered."
baichuan2-7b,5.58,self-reported,https://github.com/baichuan-inc/Baichuan2/blob/main/README_EN.md,,"4-shot, Baichuan2-7B-Base. Below the taxonomy's typical 20-100 'math' range but is the genuine reported number for this pre-CoT-era 7B dense base model on the full Hendrycks MATH set; included as-is."
chatglm-6b,3.1,self-reported,https://arxiv.org/html/2406.12793v1,,"From Table 1 of the official 2024 GLM family technical report, which re-evaluated ChatGLM-6B/2/3 under one consistent harness for a family comparison."
chatglm2-6b,6.9,self-reported,https://arxiv.org/html/2406.12793v1,,GLM team's 2024 family-wide technical report re-evaluation table (Table 1).
chatglm3-6b,25.7,self-reported,https://github.com/zai-org/ChatGLM3/blob/main/README_en.md,,ChatGLM3-6B-Base checkpoint
claude-3-5-haiku,69.2,self-reported,https://assets.anthropic.com/m/1cd9d098ac3e6467/original/Claude-3-Model-Card-October-Addendum.pdf,2024-11-04,"0-shot CoT, official model card addendum Table 8"
claude-3-5-sonnet,71.1,self-reported,https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,2024-06-20,0-shot CoT
claude-3-5-sonnet-new,78.3,self-reported,https://assets.anthropic.com/m/1cd9d098ac3e6467/original/Claude-3-Model-Card-October-Addendum.pdf,2024-10-22,"0-shot CoT, Table 7."
claude-3-7-sonnet,82.2,self-reported,https://www.anthropic.com/news/claude-3-7-sonnet,2025-02-24,"MATH 500 (500 competition math problems), standard mode / no extended thinking. Extended-thinking mode scores 96.2%."
claude-3-haiku,38.9,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-13,0-shot CoT
claude-3-opus,60.1,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-04,0-shot CoT
claude-3-sonnet,43.1,self-reported,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,2024-03-04,0-shot CoT
codegemma-7b,19.9,self-reported,https://arxiv.org/abs/2406.11409,,"CodeGemma PT (7B) MATH dataset accuracy, Table 5 of the CodeGemma technical report."
command-a,80,self-reported,https://arxiv.org/abs/2504.00698,,
command-r7b,59.1,self-reported,https://arxiv.org/abs/2504.00698,,
deepseek-coder-v2-236b,75.7,self-reported,https://github.com/deepseek-ai/DeepSeek-Coder-V2,,
deepseek-llm-67b,32.6,self-reported,https://ar5iv.labs.arxiv.org/html/2401.02954,,"Chat variant, paper Table 6"
deepseek-r1-671b,97.3,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1,2025-01-20,MATH-500 pass@1
deepseek-r1-distill-llama-70b,94.5,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-01-20,MATH-500 pass@1
deepseek-r1-distill-qwen-32b,94.3,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,2025-01-20,MATH-500 pass@1
deepseek-r1-zero,95.9,self-reported,https://arxiv.org/html/2501.12948v1,2025-01-20,MATH-500 pass@1
deepseek-v2-236b,53.9,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V2-Chat,,Chat (RL) variant
deepseek-v3-0324,94,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3-0324,2025-03-24,"MATH-500 pass@1 score (94.0, up from 90.2 for DeepSeek-V3), read directly from the bar chart image (figures/0324_comparison.png) embedded in the official HF model card — this fifth benchmark isn't in the card's text callouts (only MMLU-Pro/GPQA/AIME/LiveCodeBench are called out in prose) but is clearly labeled in the chart itself, which also matches the 4 already-recorded scores exactly (MMLU-Pro 81.2, GPQA Diamond 68.4, AIME 2024 59.4, LiveCodeBench 49.2)."
deepseek-v3-671b,90.2,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3,,MATH-500
deepseekmath-7b,51.7,self-reported,https://arxiv.org/abs/2402.03300,2024-02-01,"DeepSeekMath-RL 7B, chain-of-thought, no external tools"
deepseekmoe-16b,4.3,self-reported,https://ar5iv.labs.arxiv.org/html/2401.06066,2024-01-11,"Table 3, MATH EM 4-shot, DeepSeekMoE 16B column. Note: 4.3 is below the taxonomy's stated math range (20-100) but is the genuine, directly-confirmed paper figure — expected for a small 2024-era base model with no dedicated math training."
ernie-4-5-300b-a47b,96.4,self-reported,https://ernie.baidu.com/blog/publication/ERNIE_Technical_Report.pdf,2025-06-29,"MATH-500, Table 5."
falcon-h1-34b,83.8,self-reported,https://huggingface.co/tiiuae/Falcon-H1-34B-Instruct,,MATH-500
falcon-h1r-7b,97.4,self-reported,https://huggingface.co/tiiuae/Falcon-H1R-7B,,MATH-500
falcon3-10b,25.91,self-reported,https://huggingface.co/tiiuae/Falcon3-10B-Instruct,,"MATH Level-5, 4-shot"
falcon3-7b,29.4,self-reported,https://huggingface.co/tiiuae/Falcon3-7B-Instruct,,"MATH Level-5, 4-shot"
galactica-120b,20.4,self-reported,https://ar5iv.labs.arxiv.org/html/2211.09085,2022-11-01,"5-shot chain-of-thought, Table 9"
gemini-1-0-nano,22.8,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,2023-12-06,"Gemini Nano-2 (3.25B), Table 3, 4-shot."
gemini-1-0-pro,32.6,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,2023-12-06,"Table 2, 4-shot."
gemini-1-0-ultra,53.2,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_1_report.pdf,2023-12-06,"Table 2, 4-shot."
gemini-1-5-flash,54.9,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,2024-05-01,"4-shot Minerva prompt, Table 11"
gemini-1-5-flash-8b,35.9,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,2024-10-01,"4-shot Minerva prompt, Table 22"
gemini-1-5-pro,67.7,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,2024-05-01,"4-shot Minerva prompt, Table 11 of the Gemini 1.5 technical report."
gemini-2-0-flash,90.9,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-0-Flash-Model-Card.pdf,2025-02-01,GA version
gemini-2-0-flash-lite,86.8,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-0-Flash-Lite-Model-Card.pdf,2025-02-01,Public Preview
gemini-2-0-pro-experimental,91.8,self-reported,https://arxiv.org/abs/2503.19786,2025-03-25,MATH benchmark; Gemini 2.0 Pro baseline column in Gemma 3 Technical Report Table 6.
gemma-2-27b,42.3,self-reported,https://huggingface.co/google/gemma-2-27b,2024-06-01,4-shot
gemma-2-9b,36.6,self-reported,https://huggingface.co/google/gemma-2-9b,2024-06-01,4-shot
gemma-2b,11.8,self-reported,https://huggingface.co/google/gemma-2b,,"4-shot. Falls below this taxonomy's stated 20-100 floor for the math slug, but is the genuine self-reported number for this small, early (Feb 2024) base model -- confirmed in both the HF card and the original arXiv technical report (2403.08295, Table 6)."
gemma-3-12b,83.8,self-reported,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-12,
gemma-3-27b,89,self-reported,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-12,
gemma-3-4b,75.6,self-reported,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-12,
gemma-7b,24.3,self-reported,https://storage.googleapis.com/deepmind-media/gemma/gemma-report.pdf,2024-02-21,"Table 6, 4-shot."
glm-4,61.3,self-reported,https://arxiv.org/html/2406.12793v1,2024-05-20,"GLM-4 (0520) checkpoint, vs GPT-4-0314 52.9"
glm-4-5-355b-a32b,98.2,self-reported,https://arxiv.org/abs/2508.06471,,"MATH 500 (the taxonomy's '500 competition math problems' benchmark), Table 4 'Results on Reasoning Benchmarks'."
glm-4-5-air-106b-a12b,98.1,self-reported,https://arxiv.org/abs/2508.06471,,"MATH 500, Table 4 'Results on Reasoning Benchmarks'."
glm-4-9b-chat,50.6,self-reported,https://huggingface.co/THUDM/glm-4-9b-chat,,
glm-4-plus,74.2,self-reported,https://docs.bigmodel.cn/cn/guide/models/text/glm-4,,From official Zhipu/Z.ai docs evaluation table; GLM-4-Plus vs GPT-4o 76.6 (97%).
gpt-4-turbo,73.4,self-reported,https://github.com/openai/simple-evals,2024-05-13,"gpt-4-turbo-2024-04-09, 0-shot CoT. Classic MATH test set (OpenAI's simple-evals only swaps to the newer MATH-500 split for o1-and-later models, so this is the original benchmark, not a variant)."
gpt-4o,76.6,self-reported,https://community.openai.com/t/education-level-interpretation-of-gpt-4os-benchmarks/763947,,"OpenAI-reported figure, mirrored on this community thread since the original openai.com post blocks automated fetching [relabeled self-reported: aggregator/mirror relay of a vendor figure, not an independent re-measurement]"
gpt-4o-mini,70.2,self-reported,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,2024-07-18,"OpenAI's official GPT-4o mini launch page reports MATH at 70.2%, part of the same benchmark table as the already-recorded MMLU/MGSM/HumanEval/MMMU rows. Direct automated fetch of openai.com returns 403 (same as the existing 4 rows in this file), but the figure is corroborated verbatim and consistently across multiple independent secondary sources/search results quoting the official launch table."
granite-3-0-2b-instruct,23.66,self-reported,https://huggingface.co/ibm-granite/granite-3.0-2b-instruct,,pass@1
granite-3-0-8b-instruct,30.94,self-reported,https://huggingface.co/ibm-granite/granite-3.0-8b-instruct,,"MATH, 4-shot. Confirmed in HF model-index YAML and technical report Table 10."
granite-3-1-8b-instruct,21.68,independent,https://huggingface.co/ibm-granite/granite-3.1-8b-instruct,,"MATH Lvl 5, HF Open LLM Leaderboard V2"
granite-3-3-8b-instruct,69.02,self-reported,https://huggingface.co/ibm-granite/granite-3.3-8b-instruct,,MATH-500
grok-1,23.9,self-reported,https://x.ai/news/grok,2023-11-03,"4-shot, per xAI's original 'Announcing Grok' blog post benchmark table; also corroborated in the later 'Announcing Grok-1.5' post's Grok-1 comparison column."
grok-1-5,50.6,self-reported,https://x.ai/news/grok-1.5,2024-03-29,
grok-2,76.1,self-reported,https://klu.ai/glossary/xai-grok-2,2024-08-13,
grok-2-mini,73,self-reported,https://klu.ai/glossary/xai-grok-2,2024-08-13,
grok-3-mini,99.2,independent,https://designforonline.com/ai-models/xai-grok-3-mini/,,MATH-500
hunyuan-a13b,94.3,self-reported,https://huggingface.co/tencent/Hunyuan-A13B-Instruct,,
hunyuan-large-a52b,69.8,self-reported,https://huggingface.co/tencent/Tencent-Hunyuan-Large,,
hunyuan-t1,96.2,self-reported,https://tencent.github.io/llm.hunyuan.T1/README_EN.html,,"MATH-500, closely trailing DeepSeek R1"
hunyuan-turbos,90,self-reported,https://arxiv.org/abs/2505.15431,2025-04-16,"5-shot, Table 4 of the same technical report"
intellect-3,98.1,self-reported,https://huggingface.co/PrimeIntellect/INTELLECT-3,,"MATH-500. Reported in the official Prime Intellect HF model card evaluation table alongside AIME24/AIME25/LCB/GPQA/HLE/MMLU-Pro (same 6 metrics as the technical report's Table 2, plus this one extra column). Not present in the arXiv technical report itself. INTELLECT-3 scores 98.1 vs. GLM-4.5-Air's 97.8 and GLM-4.5's 97.0 on the same vendor table."
internlm2-20b,31.9,self-reported,https://huggingface.co/internlm/internlm2-chat-20b,,
internlm2-5-7b,60.1,self-reported,https://huggingface.co/internlm/internlm2_5-7b-chat,,
internlm3-8b-instruct,83,self-reported,https://internlm.readthedocs.io/en/latest/model_card/InternLM3.html,,"MATH-500, thinking mode"
kimi-k1-5,96.2,self-reported,https://arxiv.org/abs/2501.12599,,"MATH-500, long-CoT variant"
kimi-k2,97.4,self-reported,https://venturebeat.com/ai/moonshot-ais-kimi-k2-outperforms-gpt-4-in-key-benchmarks-and-its-free,,"MATH-500 [relabeled self-reported: aggregator/press relay of a vendor figure, not an independent re-measurement]"
lg-exaone-3-0-7-8b-instruct,34.4,self-reported,https://arxiv.org/abs/2408.03541,2024-08-01,
lg-exaone-3-5-32b-instruct,70.5,self-reported,https://arxiv.org/abs/2412.04862,2024-12-01,MATH (CoT)
