model_slug,score,source,source_url,evaluated_at,notes
deepseek-vl-7b,456,self-reported,https://arxiv.org/html/2403.05525v2,2024-03-08,"Table 5, DeepSeek-VL 7B row, raw OCRBench score out of 1000."
deepseek-vl2,811,self-reported,https://arxiv.org/html/2412.10302v1,,"Base variant, raw OCRBench score out of 1000"
ernie-4-5-vl-424b-a47b,872,self-reported,https://ernie.baidu.com/blog/publication/ERNIE_Technical_Report.pdf,2025-06-29,"Table 8, thinking mode (non-thinking mode scores 883 in Table 7)."
glm-4v-9b,786,self-reported,https://huggingface.co/THUDM/glm-4v-9b,,out of 1000
internvl2-5-78b,854,self-reported,https://internvl.github.io/blog/2024-12-05-InternVL-2.5/,,
internvl3-78b,906,self-reported,https://arxiv.org/html/2504.10479v1,,
minicpm-llama3-v-2-5,725,self-reported,https://github.com/OpenBMB/MiniCPM-V/blob/main/docs/minicpm_llama3_v2dot5.md,2024-05-20,From the official MiniCPM-V repo's model-specific results table (also mirrored on the HF model card).
minicpm-o-2-6,897,self-reported,https://huggingface.co/openbmb/MiniCPM-o-2_6,2025-01-01,State-of-the-art for models under 25B params
minicpm-v-2-6,852,self-reported,https://github.com/OpenBMB/MiniCPM-V/blob/main/docs/minicpm_v2dot6_en.md,2024-08-06,
minimax-vl-01,865,self-reported,https://huggingface.co/MiniMaxAI/MiniMax-VL-01,,Reported out of 1000 on the official model card; MiniMax-VL-01's highest-scoring benchmark in its comparison table.
nemotron-3-nano-omni,866,self-reported,https://arxiv.org/abs/2604.24954,2026-04-27,"OCRBench (Test), reasoning-on mode (matches the corpus's tracked config), from Table 7 of the official NVIDIA technical report, confirmed via a raw pdftotext -layout extraction of the report PDF (mirrored at research.nvidia.com/labs/nemotron/files/NVIDIA-Nemotron-3-Omni-report.pdf) to avoid image-OCR misreads: 'OCRBench 88.3 86.6' (reasoning-off / reasoning-on). Distinct from the already-tracked 'OCRBenchV2 (EN/ZH)' row, which is a different, harder benchmark version not in the taxonomy. [score corrected during round-6 completeness verify: proposed 86.6 -> 866]"
phi-4-multimodal-5-6b,84.4,self-reported,https://arxiv.org/abs/2503.01743,2025-03-03,"Table 1 (vision-language benchmarks) of the Phi-4-Mini/Multimodal Technical Report, 'OCRBench' row (84.4). Same table already sourced the file's existing MMMU/MathVista/DocVQA/AI2D/ChartQA/TextVQA/MMBench-en/MMMU-Pro/VideoMME rows, all of which cross-checked exactly against a fresh fetch of the paper; OCRBench was the one row from that table never added."
phi-4-multimodal-instruct,84.4,self-reported,https://arxiv.org/abs/2503.01743,2025-03-03,Same Table 1 vision-language benchmark row as the sibling phi-4-multimodal-5-6b.json record (identical underlying model/report) — OCRBench 84.4 was never carried over to this file either.
qwen2-5-vl-72b,885,self-reported,https://huggingface.co/Qwen/Qwen2.5-VL-72B-Instruct,2025-01-28,
qwen2-vl-72b,877,self-reported,https://huggingface.co/Qwen/Qwen2-VL-72B-Instruct,,"OCRBench, /1000 scale."
qwen3-5-122b-a10b,92.1,self-reported,https://huggingface.co/Qwen/Qwen3.5-122B-A10B,,Text Recognition & Document Understanding category.
qwen3-5-397b-a17b,93.1,self-reported,https://huggingface.co/Qwen/Qwen3.5-397B-A17B,,"Vision-Language table, Text Recognition and Document Understanding section."
qwen3-5-omni-flash,89.1,self-reported,https://qwen.ai/blog?id=qwen3.5-omni,2026-04-17,"Table 6 (Vision→Text), Text Recognition and Document Understanding section."
qwen3-5-omni-plus,91.3,self-reported,https://arxiv.org/abs/2604.15804,2026-04-21,"Table 6 (Vision→Text), Qwen3.5-Omni-Plus column, cell S5.T6.3.20.4."
qwen3-6-27b,89.4,self-reported,https://huggingface.co/Qwen/Qwen3.6-27B,2026-04-22,"OCRBench, official HF model card's 'Text Recognition and Document Understanding' vision-language table (alongside CharXiv RQ 78.4 and CC-OCR 81.2, which are already tracked or unmappable). Not previously in the corpus entry despite the rest of the same table being tracked."
step-1v,886,independent,https://arxiv.org/abs/2504.11101,2025-04-15,"From arXiv:2504.11101 'Consensus Entropy: Harnessing Multi-VLM Agreement for Self-Verifying and Self-Improving OCR' (Table 3, 'Representative CE Ensemble Examples On OCRBench'). The row lists four individual model scores feeding into an ensemble: 'Ovis2-1B, Qwen2.5VL-7B, Step1V, Step1o (890, 874, 886, 926)' -- Step1V's own OCRBench score is 886 (raw scale, consistent with other corpus OCRBench entries e.g. ERNIE-4.5-VL 872, InternVL2.5-78B 854). Verified consistently across three independent WebFetch reads of the paper's HTML version (arxiv.org/html/2504.11101v4, dated 06 May 2026 for v4; original submission April 2025). Unusual citation context (score appears inside an ensemble-methods table rather than a dedicated model leaderboard/report), so flagging for reviewer double-check, but the paper is a real, independently-authored academic source with Step1V's individual score explicitly stated."
