model_slug,score,source,source_url,evaluated_at,notes
bloom-7b1,25.6,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU (DeepL-translated MMLU across 21 EU languages), Thellmann et al. 2024 'Towards Multilingual LLM Evaluation for European Languages', Table 13. HF checkpoint bigscience/bloom-7b1, exact name/size match."
command-r,56.1,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('c4ai-command-r-35B-v01'). Matches this catalog entry's linked HF checkpoint CohereLabs/c4ai-command-r-v01 exactly."
gemma-7b,56.8,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Gemma-7b', base checkpoint, not the 1.1-Instruct variant tested separately in the same paper). Matches this catalog entry's linked google/gemma-7b."
llama-2-13b-chat,42.9,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Meta-Llama-2-13B-Chat'). Matches this catalog entry's linked meta-llama/Llama-2-13b-chat."
llama-2-7b,36.4,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Meta-Llama-2-7B', base checkpoint). Matches this catalog entry's linked meta-llama/Llama-2-7b."
llama-2-7b-chat,37,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Meta-Llama-2-7B-Chat'). Matches this catalog entry's linked meta-llama/Llama-2-7b-chat-hf."
llama-3-1-70b,77.1,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Meta-Llama-3.1-70B-Instruct'). Matches this catalog entry's linked meta-llama/Meta-Llama-3.1-70B-Instruct."
llama-3-1-8b,57.6,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Meta-Llama-3.1-8B-Instruct'). This catalog entry's own results (mmlu=69.4, gsm8k=84.5, etc.) are all explicitly labeled Instruct despite the bare 'Meta-Llama-3.1-8B' HF link field, so the Instruct-variant score (57.6) was used to match the entry's established convention rather than the base-model score (55.6)."
llama-3-8b,54.8,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Meta-Llama-3-8B-Instruct'). This catalog entry links meta-llama/Meta-Llama-3-8B-Instruct and already mixes Instruct-labeled results (e.g. its mmlu=68.4 is Instruct), so the Instruct-variant EU21-MMLU score is consistent with the entry's established convention."
mistral-7b,50.6,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Mistral-7B-v0.1', base checkpoint). Matches this catalog entry's linked mistralai/Mistral-7B-v0.1 exactly."
mistral-nemo-12b,59.5,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Mistral-Nemo-Instruct-12.2B_2407'). Matches this catalog entry's linked mistralai/Mistral-Nemo-Instruct-2407 exactly."
mixtral-8x7b,61.5,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Mixtral-8x7B-v0.1', base checkpoint). Matches this catalog entry's linked mistralai/Mixtral-8x7B-v0.1 exactly."
pharia-1-llm-7b-control,35.3,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Pharia-1-LLM-7B-control'). Matches this catalog entry's linked Aleph-Alpha/Pharia-1-LLM-7B-control exactly."
phi-3-medium-14b,57.4,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Phi-3-medium-14B-4k-Instruct'). Matches this catalog entry's linked microsoft/Phi-3-medium-4k-instruct exactly (the paper also separately tested the 128k-context variant at 56.5, essentially identical)."
phi-3-mini-3-8b,44.9,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Phi-3-mini-4k-Instruct'). Matches this catalog entry's linked microsoft/Phi-3-mini-4k-instruct exactly (the paper also separately tested the 128k-context variant at 46.2, essentially identical)."
qwen2-7b,58.4,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Qwen2-7B-Instruct'). This catalog entry links Qwen/Qwen2-7B-Instruct but tracks a mix of base- and instruct-labeled results (its other results are explicitly labeled 'Base model' or 'Instruct variant'); this score is the Instruct variant, noted accordingly. Paper text also states Qwen2-7B-Instruct 'demonstrates the highest median accuracy in EU21-MMLU' among small models."
teuken-7b-instruct,43,self-reported,https://huggingface.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4,,"EU21-MMLU, averaged across 21 EU languages (0-1 scale)"
vicuna-13b-v1-5,44.8,independent,https://arxiv.org/abs/2410.08928,2024-10-17,"EU21-MMLU, Thellmann et al. 2024, Table 13 ('Vicuna-13b-v1.5'). Matches this catalog entry's linked lmsys/vicuna-13b-v1.5 exactly."
