model_slug,score,source,source_url,evaluated_at,notes
claude-3-7-sonnet,56.66,independent,https://www.vals.ai/models/anthropic_claude-3-7-sonnet-20250219,,"Vals AI independent evaluation, 'Claude 3.7 Sonnet (Nonthinking)' model page (confirmed via rendered browser screenshot, since the static HTML placeholder shows 0.0% until client JS animates the real value in). Chose the Nonthinking variant to match this file's standard-mode convention; the Thinking variant scored 60.44% on the same benchmark."
claude-fable-5,89.8,independent,https://www.vals.ai/models/anthropic_claude-fable-5,,"Vals AI independent eval. LiveCodeBench 89.778% (ranked 1st of 127 models per the page), from the model page's embedded score data. Corroborated by a separate morphllm.com roundup citing the identical 89.78% figure and #1 rank. Not previously tracked for this model."
claude-haiku-4-5,41.2,independent,https://www.vals.ai/models/anthropic_claude-haiku-4-5-20251001-thinking,,"Vals AI independent eval, Thinking variant. LiveCodeBench 41.175%, from the model page's embedded score bars (raw HTML fetch). Not previously tracked (the corpus has 'terminal-bench', 'gpqa', 'mmlu-pro' etc. for this model but no coding-contest benchmark)."
claude-opus-4,62.6,independent,https://www.vals.ai/models/anthropic_claude-opus-4-20250514,,"Vals AI independent eval (only variant listed for this model, i.e. standard/non-extended-thinking). LiveCodeBench 62.629%, from the model page's embedded score bars (raw HTML fetch). Not previously tracked for this model."
claude-opus-4-5-high,83.7,independent,https://www.vals.ai/models/anthropic_claude-opus-4-5-20251101-thinking,,"Vals AI independent eval of Claude Opus 4.5 (Thinking variant, matching the corpus's 'High'/default-effort config). LiveCodeBench pass rate 83.67%, extracted directly from the model page's embedded score bars (raw HTML fetch, not the JS-summarized view). Not previously tracked for this model (only 'terminal-bench'/'terminal-bench-2' and generic 'mmlu'/'mmmlu' coding/knowledge scores were present)."
claude-opus-4-7,85.07,independent,https://www.vals.ai/models/anthropic_claude-opus-4-7,,Vals AI independent evaluation (confirmed via rendered browser screenshot; static HTML fetch shows placeholder 0.0% values).
claude-sonnet-4-6,82.09,independent,https://www.vals.ai/models/anthropic_claude-sonnet-4-6,,Vals AI independent evaluation (confirmed via rendered browser screenshot; static HTML fetch shows placeholder 0.0% values).
codeqwen1-5-7b,7.9,self-reported,https://arxiv.org/abs/2409.12186,2024-09-18,"LiveCodeBench Pass@1, CodeQwen1.5-7B-Chat variant, from Qwen2.5-Coder Technical Report Table 16 ('performance of different instruct models on code generation by HumanEval, MBPP, bigcodebench and livecodebench'). Flagging that this is the Chat variant while the file's existing HumanEval/MBPP rows are labeled 'Base model' even though the row's hf link points to Qwen/CodeQwen1.5-7B-Chat -- worth reconciling variant labeling across the row during merge. Not previously tracked."
codestral-25-01,37.9,self-reported,https://mistral.ai/news/codestral-2501/,,
command-a,35.07,independent,https://www.vals.ai/models/cohere_command-a-03-2025,,"Vals AI independent evaluation, LiveCodeBench accuracy 35.07% (rank 121/127 at time of capture). Not previously tracked for Command A; confirmed via live-rendered Vals AI benchmark table (initial WebFetch of the page returned stale/zeroed placeholder values, so this was re-verified via a screenshot of the fully rendered page)."
command-a-218b,79.38,independent,https://www.vals.ai/models/cohere_command-a-plus-05-2026,,"Vals AI independent evaluation, LiveCodeBench accuracy 79.38%. Genuinely new coding-benchmark data point; not currently tracked for Command A+."
deepseek-coder-v2-236b,43.4,self-reported,https://github.com/deepseek-ai/DeepSeek-Coder-V2,,
deepseek-r1-0528,73.3,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1-0528,2025-05-28,LiveCodeBench (2408-2505)
deepseek-r1-671b,65.9,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1,2025-01-20,LiveCodeBench pass@1
deepseek-r1-distill-llama-70b,57.5,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B,2025-01-20,LiveCodeBench pass@1
deepseek-r1-distill-qwen-32b,57.2,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,2025-01-20,LiveCodeBench pass@1
deepseek-r1-zero,50,self-reported,https://arxiv.org/html/2501.12948v1,2025-01-20,LiveCodeBench pass@1
deepseek-v2-236b,32.5,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V2-Chat,2024-05-07,"LiveCodeBench (0901-0401 window) pass@1 for DeepSeek-V2 Chat (RL), from the same official HF model card table. Not previously recorded for this model (only the later V2.5 has a LiveCodeBench entry in the corpus)."
deepseek-v2-5,41.8,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V2.5,,Jan-Sep 2024 window
deepseek-v3-0324,49.2,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3-0324,2025-03-24,LiveCodeBench
deepseek-v3-1-non-thinking,56.4,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3.1,,2408-2505 Pass@1
deepseek-v3-1-thinking,74.8,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3.1,,2408-2505 Pass@1
deepseek-v3-2-exp,74.1,self-reported,https://github.com/deepseek-ai/DeepSeek-V3.2-Exp,,
deepseek-v3-671b,37.6,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V3,,Pass@1
deepseek-v4-flash-non-think,55.2,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,,Non-Think mode
deepseek-v4-flash-think-high,88.4,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,,Think High mode
deepseek-v4-flash-think-max,91.6,self-reported,https://macaron.im/blog/deepseek-v4-benchmarks,,Max mode
deepseek-v4-pro-non-think,56.8,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,,Non-Think mode
deepseek-v4-pro-think-high,89.8,self-reported,https://arxiv.org/abs/2606.19348,,Think-High mode
deepseek-v4-pro-think-max,93.5,self-reported,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,,Pro-Max mode
ernie-4-5-300b-a47b,38.8,self-reported,https://ernie.baidu.com/blog/publication/ERNIE_Technical_Report.pdf,2025-06-29,Table 5.
exaone-4-5,81.4,self-reported,https://www.prnewswire.com/news-releases/lg-reveals-next-gen-multimodal-ai-exaone-4-5-302736993.html,,"LiveCodeBench v6, vendor-reported vs Gemma 4 (80.0)"
falcon-h1-34b,49.71,self-reported,https://huggingface.co/tiiuae/Falcon-H1-34B-Instruct,,
falcon-h1r-7b,68.6,self-reported,https://falcon-lm.github.io/blog/falcon-h1r-7b/,,LiveCodeBench v6
gemini-2-0-flash,34.5,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-0-Flash-Model-Card.pdf,2025-02-01,"v5, GA version"
gemini-2-0-flash-lite,28.9,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-0-Flash-Lite-Model-Card.pdf,2025-02-01,"v5, Public Preview"
gemini-2-0-pro-experimental,36,self-reported,https://arxiv.org/abs/2503.19786,2025-03-25,LiveCodeBench; Gemini 2.0 Pro baseline column in Gemma 3 Technical Report Table 6.
gemini-2-5-flash,63.9,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Flash-Model-Card.pdf,2025-05-01,"LiveCodeBench v5, single attempt, thinking on"
gemini-2-5-flash-lite-non-thinking,33.7,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Flash-Lite-Model-Card.pdf,2025-06-01,"LiveCodeBench v5, (06-17), non-thinking"
gemini-2-5-flash-lite-thinking,34.3,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Flash-Lite-Model-Card.pdf,2025-06-01,"LiveCodeBench v5, (06-17), thinking on"
gemini-2-5-pro,70.4,self-reported,https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-2-5-Pro-Model-Card.pdf,2025-03-25,"LiveCodeBench v5 (UI window 10/1/2024-2/1/2025), single attempt, Gemini 2.5 Pro (Experimental 03-25) column."
gemini-3-1-flash-lite,72,self-reported,https://storage.googleapis.com/deepmind-media/gemini/gemini_3-1_flash-lite_model_evaluation.pdf,2026-03-01,"LiveCodeBench code generation, 175 UI problems dated 1/1/2025-5/1/2025 (distinct from LiveCodeBench Pro's Elo scale)."
gemma-3-12b,24.6,self-reported,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-12,
gemma-3-27b,29.7,self-reported,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-12,
gemma-3-4b,12.6,self-reported,https://storage.googleapis.com/deepmind-media/gemma/Gemma3Report.pdf,2025-03-12,
gemma-4,80,self-reported,https://ai.google.dev/gemma/docs/core/model_card_4,2026-04-02,"LiveCodeBench v6, 31B dense, also confirmed on huggingface.co/google/gemma-4-31B-it."
gemma-4-26b-a4b,77.1,self-reported,https://huggingface.co/google/gemma-4-26B-A4B-it,2026-04-02,"LiveCodeBench v6, 26B A4B."
glm-4-5-355b-a32b,72.9,independent,https://llm-stats.com/models/compare/glm-4.5-vs-glm-4.5-air,2026-07-12,
glm-4-5-air-106b-a12b,70.7,independent,https://llm-stats.com/models/compare/glm-4.5-vs-glm-4.5-air,2026-07-12,
glm-4-6,82.8,self-reported,https://cirra.ai/articles/glm-4-6-vs-claude-sonnet-comparison,,LiveCodeBench v6; corroborated separately by CometAPI's write-up of the same launch figure
glm-4-plus,45.8,self-reported,https://docs.bigmodel.cn/cn/guide/models/text/glm-4,,Labeled 'LCB' in the docs table and marked with an asterisk denoting a Zhipu-reproduced result (not the original paper's number); GLM-4-Plus vs GPT-4o 45.5 (101%).
glm-z1-32b-0414,59.1,self-reported,https://github.com/zai-org/GLM-4/blob/main/README.md,,Labeled 'LCB (2408-2501)' (a time-windowed LiveCodeBench subset) in the official GitHub README benchmark chart.
gpt-4-turbo,28.7,independent,https://livecodebench.github.io/leaderboard.html,,"gpt-4-turbo-2024-04-09, Pass@1, official LiveCodeBench leaderboard, current problem time-window 2024-08-01 to 2025-05-01 (454 contamination-controlled problems released after model training cutoffs). A genuinely hard eval: breaks down to Easy 81.0 / Medium 24.8 / Hard 3.1, i.e. the model solves almost none of the Hard-tier problems — included deliberately per the instruction to surface harder evals, not just favorable ones."
gpt-5-nano,78.9,independent,https://themodelbeat.com/models/gpt-5-nano,,"LiveCodeBench score from Epoch AI's independent evaluation of GPT-5 nano, relayed via themodelbeat.com -- same source/methodology already used for this model's existing hle/mmlu-pro/aime/arc-agi-1/arc-agi-2 independent rows."
grok-3-mini,69.6,independent,https://designforonline.com/ai-models/xai-grok-3-mini/,,
grok-3-standard,57,self-reported,https://x.ai/news/grok-3,2025-02-17,Official non-reasoning 'Grok 3 Beta' row in xAI's launch-blog benchmark table (LCB column).
grok-3-think,79.4,self-reported,https://futureagi.com/blog/grok-3-technical-review-2025/,2025-02-17,Think mode
grok-4,79,self-reported,https://www.datacamp.com/blog/grok-4,2025-07-09,no tools
grok-4-5,87.35,independent,https://www.vals.ai/models/grok_grok-4.5,,"Vals AI independent eval of Grok 4.5, ranked 7/127 models on the platform's LiveCodeBench tracker (fetched July 2026)."
